Time - Voltage,Amplitude - Voltage
0,-0.000102706
0.001,0.000522849
0.002,0.000832334
0.003,0.00079941
0.004,0.000503095
0.005,-0.000234402
0.006,-0.000636074
0.007,-0.00112993
0.008,-0.00106409
0.009,-0.000662414
0.01,-0.00013563
0.011,0.000397738
0.012,0.000924521
0.013,0.000858674
0.014,0.000503095
0.015,-6.32E-05
0.016,-0.000589981
0.017,-0.000952144
0.018,-0.00100482
0.019,-0.000675583
0.02,-0.000161969
0.021,0.000351645
0.022,0.000904767
0.023,0.000871843
0.024,0.000410908
0.025,-0.000142215
0.026,-0.000748016
0.027,-0.000938975
0.028,-0.000985068
0.029,-0.000761185
0.03,-0.000168554
0.031,0.000364814
0.032,0.000720393
0.033,0.00079941
0.034,0.000384568
0.035,2.90E-05
0.036,-0.000497794
0.037,-0.000879712
0.038,-0.000952144
0.039,-0.000636074
0.04,-0.000418776
0.041,0.000358229
0.042,0.000726978
0.043,0.000865258
0.044,0.000568943
0.045,-0.000155384
0.046,-0.000642659
0.047,-0.00101141
0.048,-0.00111018
0.049,-0.000682168
0.05,-0.000161969
0.051,0.000292381
0.052,0.000832334
0.053,0.000773071
0.054,0.000536019
0.055,-1.05E-05
0.056,-0.00062949
0.057,-0.000879712
0.058,-0.000965314
0.059,-0.000642659
0.06,-0.000175139
0.061,0.000384568
0.062,0.000805995
0.063,0.000805995
0.064,0.000404323
0.065,-0.000385852
0.066,-0.000583396
0.067,-0.00101141
0.068,-0.000978484
0.069,-0.000813864
0.07,-0.000168554
0.071,0.000404323
0.072,0.000773071
0.073,0.000845504
0.074,0.000470171
0.075,-0.000122461
0.076,-0.00061632
0.077,-0.000813864
0.078,-0.000925805
0.079,-0.000774355
0.08,-0.000491209
0.081,0.000410908
0.082,0.000680884
0.083,0.000779656
0.084,0.000351645
0.085,-3.69E-05
0.086,-0.000563642
0.087,-0.000952144
0.088,-0.00104433
0.089,-0.000688753
0.09,-0.000240987
0.091,0.000371399
0.092,0.000746732
0.093,0.000792826
0.094,0.000476756
0.095,-0.000102706
0.096,-0.000563642
0.097,-0.000866542
0.098,-0.000873127
0.099,-0.000708507
0.1,-0.000208063
0.101,0.00033189
0.102,0.000720393
0.103,0.00081258
0.104,0.000430662
0.105,-6.32E-05
0.106,-0.000543887
0.107,-0.000985068
0.108,-0.000886297
0.109,-0.000754601
0.11,-0.000214648
0.111,0.000305551
0.112,0.000759902
0.113,0.000779656
0.114,0.000437247
0.115,-0.000201478
0.116,-0.00060315
0.117,-0.0011431
0.118,-0.00109043
0.119,-0.000701922
0.12,-8.95E-05
0.121,0.000786241
0.122,0.000779656
0.123,0.000885013
0.124,0.000529434
0.125,9.24E-06
0.126,-0.000372683
0.127,-0.000978484
0.128,-0.000899466
0.129,-0.000715092
0.13,-0.000320004
0.131,0.000476756
0.132,0.00064796
0.133,0.000805995
0.134,0.000371399
0.135,0.000325305
0.136,-0.000491209
0.137,-0.00094556
0.138,-0.00094556
0.139,-0.000728261
0.14,-0.000260741
0.141,0.000239703
0.142,0.000713808
0.143,0.000805995
0.144,0.000582112
0.145,6.19E-05
0.146,-0.000399022
0.147,-0.000985068
0.148,-0.00105092
0.149,-0.000734846
0.15,-0.000267326
0.151,0.000233118
0.152,0.00079941
0.153,0.000838919
0.154,0.000489925
0.155,-1.71E-05
0.156,-0.000550472
0.157,-0.00107726
0.158,-0.00103116
0.159,-0.000642659
0.16,-0.000260741
0.161,0.000252873
0.162,0.000674299
0.163,0.000858674
0.164,0.000522849
0.165,-3.03E-05
0.166,-0.000491209
0.167,-0.000846788
0.168,-0.00100482
0.169,-0.000695338
0.17,-0.00028708
0.171,0.000325305
0.172,0.000634791
0.173,0.000773071
0.174,0.000424077
0.175,-1.05E-05
0.176,-0.000478039
0.177,-0.00101141
0.178,-0.000912636
0.179,-0.00061632
0.18,-0.00028708
0.181,0.000239703
0.182,0.000740147
0.183,0.000792826
0.184,0.000522849
0.185,6.85E-05
0.186,-0.000517548
0.187,-0.000741431
0.188,-0.000971899
0.189,-0.000721677
0.19,-0.000194893
0.191,0.000298966
0.192,0.000680884
0.193,0.000845504
0.194,0.000470171
0.195,6.19E-05
0.196,-0.000510963
0.197,-0.000899466
0.198,-0.000991653
0.199,-0.000774355
0.2,-0.000260741
0.201,0.000259457
0.202,0.000700639
0.203,0.000832334
0.204,0.000516264
0.205,-0.000155384
0.206,-0.000471455
0.207,-0.000912636
0.208,-0.00104433
0.209,-0.000715092
0.21,-0.000399022
0.211,0.000266042
0.212,0.000641375
0.213,0.000865258
0.214,0.000641375
0.215,3.56E-05
0.216,-0.000399022
0.217,-0.000873127
0.218,-0.000853373
0.219,-0.000715092
0.22,-0.000293665
0.221,0.00019361
0.222,0.000707223
0.223,0.000805995
0.224,0.000503095
0.225,5.53E-05
0.226,-0.000431946
0.227,-0.000925805
0.228,-0.000998238
0.229,-0.000754601
0.23,-0.000267326
0.231,0.000213364
0.232,0.000674299
0.233,0.000786241
0.234,0.000575527
0.235,0.00016727
0.236,-0.00062949
0.237,-0.000925805
0.238,-0.0010575
0.239,-0.000853373
0.24,-0.000372683
0.241,0.000259457
0.242,0.000720393
0.243,0.000858674
0.244,0.000582112
0.245,0.000127762
0.246,-0.000412191
0.247,-0.000886297
0.248,-0.00093239
0.249,-0.000748016
0.25,-0.000306835
0.251,0.000213364
0.252,0.000687469
0.253,0.00079941
0.254,0.000588697
0.255,7.51E-05
0.256,-0.000504379
0.257,-0.000958729
0.258,-0.00103775
0.259,-0.000859957
0.26,-0.000273911
0.261,0.000272627
0.262,0.000641375
0.263,0.000865258
0.264,0.000516264
0.265,0.000127762
0.266,-0.000425361
0.267,-0.000958729
0.268,-0.000906051
0.269,-0.000853373
0.27,-0.000161969
0.271,0.000292381
0.272,0.000667715
0.273,0.000832334
0.274,0.000549188
0.275,2.65E-06
0.276,-0.000497794
0.277,-0.000886297
0.278,-0.00101141
0.279,-0.000787525
0.28,-0.000622905
0.281,0.000266042
0.282,0.000713808
0.283,0.000904767
0.284,0.00066113
0.285,0.000140931
0.286,-0.000504379
0.287,-0.000886297
0.288,-0.000998238
0.289,-0.000688753
0.29,-0.000352928
0.291,0.000272627
0.292,0.00064796
0.293,0.00081258
0.294,0.000562358
0.295,4.22E-05
0.296,-0.000550472
0.297,-0.000892881
0.298,-0.00105092
0.299,-0.000642659
0.3,-0.000399022
0.301,0.000252873
0.302,0.000687469
0.303,0.000766486
0.304,0.000628206
0.305,6.85E-05
0.306,-0.000412191
0.307,-0.000846788
0.308,-0.000998238
0.309,-0.000636074
0.31,-0.000359513
0.311,0.000173855
0.312,0.000694054
0.313,0.00082575
0.314,0.000529434
0.315,6.19E-05
0.316,-0.000431946
0.317,-0.000873127
0.318,-0.000958729
0.319,-0.00078094
0.32,-0.00030025
0.321,0.000226533
0.322,0.000733562
0.323,0.000792826
0.324,0.000562358
0.325,9.48E-05
0.326,-0.000399022
0.327,-0.000991653
0.328,-0.000892881
0.329,-0.000965314
0.33,-0.000438531
0.331,0.000312136
0.332,0.000628206
0.333,0.000878428
0.334,0.000562358
0.335,8.17E-05
0.336,-0.000445115
0.337,-0.000794109
0.338,-0.00101141
0.339,-0.000754601
0.34,-0.000392437
0.341,0.000377984
0.342,0.000608451
0.343,0.00120108
0.344,0.000634791
0.345,0.000127762
0.346,-0.000412191
0.347,-0.000899466
0.348,-0.00112335
0.349,-0.000879712
0.35,-0.000418776
0.351,0.000200194
0.352,0.000601867
0.353,0.00082575
0.354,0.000476756
0.355,4.87E-05
0.356,-0.000484624
0.357,-0.00107067
0.358,-0.00101799
0.359,-0.000734846
0.36,-0.000352928
0.361,0.000246288
0.362,0.000621621
0.363,0.000878428
0.364,0.000568943
0.365,0.000147516
0.366,-0.000366098
0.367,-0.000912636
0.368,-0.000958729
0.369,-0.000682168
0.37,-0.000557057
0.371,0.000252873
0.372,0.000634791
0.373,0.00101671
0.374,0.00050968
0.375,0.000239703
0.376,-0.000339759
0.377,-0.000853373
0.378,-0.000985068
0.379,-0.000807279
0.38,-0.000372683
0.381,0.000173855
0.382,0.000641375
0.383,0.000865258
0.384,0.000634791
0.385,0.000127762
0.386,-0.000458285
0.387,-0.000833618
0.388,-0.000978484
0.389,-0.000833618
0.39,-0.000320004
0.391,0.000173855
0.392,0.00064796
0.393,0.000838919
0.394,0.000621621
0.395,0.000140931
0.396,-0.00028708
0.397,-0.000859957
0.398,-0.000985068
0.399,-0.000827033
0.4,-0.000392437
0.401,0.000134346
0.402,0.000621621
0.403,0.000845504
0.404,0.000615036
0.405,7.51E-05
0.406,-0.000366098
0.407,-0.000859957
0.408,-0.00108384
0.409,-0.000833618
0.41,-0.000405607
0.411,2.24E-05
0.412,0.000628206
0.413,0.000878428
0.414,0.00066113
0.415,0.000160686
0.416,-0.00046487
0.417,-0.000833618
0.418,-0.00119578
0.419,-0.000978484
0.42,-0.000359513
0.421,0.000160686
0.422,0.000608451
0.423,0.000911352
0.424,0.000608451
0.425,0.000101422
0.426,-0.000458285
0.427,-0.000879712
0.428,-0.00100482
0.429,-0.000912636
0.43,-0.000346343
0.431,0.000121177
0.432,0.000654545
0.433,0.000845504
0.434,0.000555773
0.435,8.17E-05
0.436,-0.000497794
0.437,-0.000853373
0.438,-0.00101799
0.439,-0.000688753
0.44,-0.000537302
0.441,0.000121177
0.442,0.000608451
0.443,0.000779656
0.444,0.000595282
0.445,0.000121177
0.446,-0.000372683
0.447,-0.000846788
0.448,-0.00103775
0.449,-0.000846788
0.45,-0.000346343
0.451,0.00019361
0.452,0.000529434
0.453,0.0009772
0.454,0.000654545
0.455,0.000206779
0.456,-0.00030025
0.457,-0.000846788
0.458,-0.00103116
0.459,-0.000840203
0.46,-0.000392437
0.461,0.000114592
0.462,0.000549188
0.463,0.000885013
0.464,0.000582112
0.465,0.00019361
0.466,-0.000445115
0.467,-0.000827033
0.468,-0.00105092
0.469,-0.000346343
0.47,-0.000346343
0.471,9.48E-05
0.472,0.000601867
0.473,0.000878428
0.474,0.000700639
0.475,8.83E-05
0.476,-0.000306835
0.477,-0.000807279
0.478,-0.00091922
0.479,-0.000833618
0.48,-0.000385852
0.481,-3.03E-05
0.482,0.000489925
0.483,0.000858674
0.484,0.000621621
0.485,0.000154101
0.486,-0.000445115
0.487,-0.000708507
0.488,-0.00093239
0.489,-0.000892881
0.49,-0.000385852
0.491,0.000154101
0.492,0.000621621
0.493,0.000536019
0.494,0.00064796
0.495,0.000200194
0.496,-0.000484624
0.497,-0.000833618
0.498,-0.000952144
0.499,-0.000873127
0.5,-0.000399022
0.501,0.000154101
0.502,0.00066113
0.503,0.000766486
0.504,0.000568943
0.505,0.000206779
0.506,-0.000372683
0.507,-0.000820449
0.508,-0.00103116
0.509,-0.000873127
0.51,-0.000405607
0.511,0.000114592
0.512,0.000391153
0.513,0.000845504
0.514,0.000713808
0.515,0.000187025
0.516,-0.000405607
0.517,-0.000813864
0.518,-0.00110359
0.519,-0.000879712
0.52,-0.000392437
0.521,8.83E-05
0.522,0.000634791
0.523,0.000924521
0.524,0.000634791
0.525,0.000101422
0.526,-0.00031342
0.527,-0.000866542
0.528,-0.00109043
0.529,-0.00093239
0.53,-0.000589981
0.531,-9.61E-05
0.532,0.000667715
0.533,0.000891597
0.534,0.000680884
0.535,-3.03E-05
0.536,-0.000346343
0.537,-0.000695338
0.538,-0.000859957
0.539,-0.000912636
0.54,-0.000517548
0.541,-1.71E-05
0.542,0.000608451
0.543,0.000779656
0.544,0.000746732
0.545,0.000226533
0.546,-0.000240987
0.547,-0.000827033
0.548,-0.00110359
0.549,-0.000807279
0.55,-0.000510963
0.551,6.85E-05
0.552,0.000549188
0.553,0.000838919
0.554,0.000753317
0.555,0.000233118
0.556,-0.000234402
0.557,-0.000833618
0.558,-0.00093239
0.559,-0.000879712
0.56,-0.00046487
0.561,7.51E-05
0.562,0.000536019
0.563,0.000759902
0.564,0.000628206
0.565,0.000259457
0.566,-0.00031342
0.567,-0.00076777
0.568,-0.00101799
0.569,-0.000892881
0.57,-0.000471455
0.571,-4.34E-05
0.572,0.000582112
0.573,0.000746732
0.574,0.00048334
0.575,0.000239703
0.576,-0.000306835
0.577,-0.000662414
0.578,-0.0010575
0.579,-0.000879712
0.58,-0.00061632
0.581,4.22E-05
0.582,0.00048334
0.583,0.000885013
0.584,0.000746732
0.585,0.000200194
0.586,-0.000379267
0.587,-0.000748016
0.588,-0.00109043
0.589,-0.000859957
0.59,-0.000524133
0.591,0.000173855
0.592,0.000470171
0.593,0.000832334
0.594,0.000542604
0.595,0.000377984
0.596,-0.00030025
0.597,-0.000761185
0.598,-0.00103775
0.599,-0.000879712
0.6,-0.000445115
0.601,-3.93E-06
0.602,0.000503095
0.603,0.000845504
0.604,0.00066113
0.605,0.000266042
0.606,-0.000405607
0.607,-0.000701922
0.608,-0.000991653
0.609,-0.000952144
0.61,-0.000418776
0.611,8.17E-05
0.612,0.000529434
0.613,0.000819165
0.614,0.000733562
0.615,0.000187025
0.616,-0.00060315
0.617,-0.000800694
0.618,-0.00118261
0.619,-0.000668998
0.62,-0.000550472
0.621,2.90E-05
0.622,0.000555773
0.623,0.000845504
0.624,0.000746732
0.625,0.000206779
0.626,-0.000201478
0.627,-0.000695338
0.628,-0.00103116
0.629,-0.000879712
0.63,-0.000543887
0.631,4.87E-05
0.632,0.000707223
0.633,0.00082575
0.634,0.000595282
0.635,-4.34E-05
0.636,-0.000155384
0.637,-0.000721677
0.638,-0.00110359
0.639,-0.000965314
0.64,-0.000550472
0.641,-5.66E-05
0.642,0.000549188
0.643,0.000819165
0.644,0.000733562
0.645,0.000259457
0.646,-0.000418776
0.647,-0.000741431
0.648,-0.000971899
0.649,-0.000873127
0.65,-0.000537302
0.651,0.000101422
0.652,0.000536019
0.653,0.000792826
0.654,0.000773071
0.655,0.00034506
0.656,-0.000399022
0.657,-0.000879712
0.658,-0.000952144
0.659,-0.000813864
0.66,-0.000438531
0.661,-0.000129045
0.662,0.000536019
0.663,0.000852089
0.664,0.000700639
0.665,0.000266042
0.666,-0.000227817
0.667,-0.000734846
0.668,-0.00111018
0.669,-0.000938975
0.67,-0.000576811
0.671,-0.000109291
0.672,0.000542604
0.673,0.00082575
0.674,0.000694054
0.675,0.000305551
0.676,-0.000280496
0.677,-0.000774355
0.678,-0.00103775
0.679,-0.000879712
0.68,-0.000662414
0.681,-3.03E-05
0.682,0.000582112
0.683,0.000865258
0.684,0.000733562
0.685,0.00034506
0.686,-0.000267326
0.687,-0.000774355
0.688,-0.00110359
0.689,-0.000912636
0.69,-0.000662414
0.691,-3.03E-05
0.692,0.000536019
0.693,0.000871843
