Time - Voltage,Amplitude - Voltage
0,0.180465
0.001,0.228159
0.002,0.161059
0.003,0.0363991
0.004,-0.0994444
0.005,-0.205027
0.006,-0.239235
0.007,-0.186937
0.008,-0.0701706
0.009,0.0669885
0.01,0.181452
0.011,0.227172
0.012,0.159415
0.013,0.0340966
0.014,-0.102076
0.015,-0.206343
0.016,-0.238248
0.017,-0.185292
0.018,-0.0675393
0.019,0.0692909
0.02,0.183755
0.021,0.226843
0.022,0.157441
0.023,0.0314653
0.024,-0.10372
0.025,-0.20733
0.026,-0.238248
0.027,-0.183319
0.028,-0.0652368
0.029,0.0712644
0.03,0.18507
0.031,0.226514
0.032,0.155468
0.033,0.0294918
0.034,-0.10701
0.035,-0.208974
0.036,-0.237919
0.037,-0.182332
0.038,-0.0626055
0.039,0.0735669
0.04,0.186057
0.041,0.225856
0.042,0.153165
0.043,0.0268604
0.044,-0.108983
0.045,-0.21029
0.046,-0.23759
0.047,-0.179372
0.048,-0.0596452
0.049,0.0761982
0.05,0.187702
0.051,0.225198
0.052,0.151521
0.053,0.0239002
0.054,-0.111614
0.055,-0.211277
0.056,-0.236932
0.057,-0.178056
0.058,-0.0573428
0.059,0.0785007
0.06,0.189346
0.061,0.224212
0.062,0.149547
0.063,0.0215977
0.064,-0.113588
0.065,-0.212264
0.066,-0.236932
0.067,-0.176411
0.068,-0.0553693
0.069,0.0804742
0.07,0.190662
0.071,0.223883
0.072,0.147902
0.073,0.0189664
0.074,-0.11589
0.075,-0.213579
0.076,-0.236275
0.077,-0.174438
0.078,-0.0530668
0.079,0.0831055
0.08,0.192307
0.081,0.223225
0.082,0.145929
0.083,0.016335
0.084,-0.117535
0.085,-0.214566
0.086,-0.235946
0.087,-0.172135
0.088,-0.0504355
0.089,0.0857369
0.09,0.193622
0.091,0.221909
0.092,0.143627
0.093,0.0140326
0.094,-0.120166
0.095,-0.215882
0.096,-0.23463
0.097,-0.171807
0.098,-0.0478041
0.099,0.0883682
0.1,0.195267
