Time - Voltage,Amplitude - Voltage 100 Hz,Time - Voltage,Amplitude - Voltage 400 Hz,Time - Voltage,Amplitude - Voltage 600 hz,Time - Voltage,Amplitude - Voltage 900 hz
0,0.00615721,0,-0.166897,0,0.227245,0,-0.230723
0.001,-0.128733,0.001,0.223297,0.001,-0.177425,0.001,-0.14765
0.002,-0.221675,0.002,-0.222827,0.002,0.0273777,0.002,-0.0163792
0.003,-0.235987,0.003,0.0958095,0.003,0.082156,0.003,0.118181
0.004,-0.160975,0.004,0.00763771,0.004,-0.214602,0.004,0.211617
0.005,-0.0356257,0.005,-0.163113,0.005,0.224613,0.005,0.211946
0.006,0.0987705,0.006,0.221487,0.006,-0.171996,0.006,0.120155
0.007,0.200596,0.007,-0.224636,0.007,0.0181657,0.007,-0.0124313
0.008,0.21902,0.008,0.101896,0.008,0.0905455,0.008,-0.142057
0.009,0.137757,0.009,0.00319621,0.009,-0.219208,0.009,-0.228255
0.01,0.0079667,0.01,-0.159659,0.01,0.222639,0.01,-0.231216
0.011,-0.125114,0.011,0.220007,0.011,-0.166074,0.011,-0.148473
0.012,-0.219866,0.012,-0.225623,0.012,0.0101052,0.012,-0.0178597
0.013,-0.236974,0.013,0.105186,0.013,0.0987705,0.013,0.115878
0.014,-0.163113,0.014,-0.00206778,0.014,-0.222169,0.014,0.210137
0.015,-0.0371062,0.015,-0.155382,0.015,0.220336,0.015,0.212769
0.016,0.096303,0.016,0.218691,0.016,-0.15933,0.016,0.121965
0.017,0.198786,0.017,-0.227762,0.017,0.000893219,0.017,-0.0104573
0.018,0.220829,0.018,0.110285,0.018,0.105844,0.018,-0.141399
0.019,0.140224,0.019,-0.00683827,0.019,-0.226446,0.019,-0.227926
0.02,0.0102697,0.02,-0.151105,0.02,0.21721,0.02,-0.231052
0.021,-0.123304,0.021,0.215236,0.021,-0.152914,0.021,-0.149131
0.022,-0.219537,0.022,-0.229736,0.022,-0.00733177,0.022,-0.0198337
0.023,-0.236809,0.023,0.11522,0.023,0.113246,0.023,0.114891
0.024,-0.165416,0.024,-0.0114443,0.024,-0.229736,0.024,0.209808
0.025,-0.0397382,0.025,-0.14765,0.025,0.213427,0.025,0.213262
0.026,0.095974,0.026,0.214249,0.026,-0.14617,0.026,0.123445
0.027,0.198622,0.027,-0.23171,0.027,-0.0158857,0.027,-0.00914126
0.028,0.222145,0.028,0.119004,0.028,0.120813,0.028,-0.140248
0.029,0.142198,0.029,-0.0176952,0.029,-0.232697,0.029,-0.227762
0.03,0.0120792,0.03,-0.143209,0.03,0.210795,0.03,-0.232368
0.031,-0.122482,0.031,0.212604,0.031,-0.138438,0.031,-0.151434
0.032,-0.218221,0.032,-0.232861,0.032,-0.0247687,0.032,-0.0221367
0.033,-0.236974,0.033,0.124432,0.033,0.128545,0.033,0.113411
0.034,-0.166403,0.034,-0.0219722,0.034,-0.234835,0.034,0.208656
0.035,-0.0423702,0.035,-0.138767,0.035,0.20586,0.035,0.21392
0.036,0.0931775,0.036,0.209479,0.036,-0.1312,0.036,0.124432
0.037,0.197635,0.037,-0.235,0.037,-0.0334872,0.037,-0.00667377
0.038,0.222145,0.038,0.129038,0.038,0.135125,0.038,-0.138603
0.039,0.143185,0.039,-0.0275652,0.039,-0.236645,0.039,-0.226939
0.04,0.0148757,0.04,-0.133668,0.04,0.203557,0.04,-0.232532
0.041,-0.120672,0.041,0.207505,0.041,-0.124785,0.041,-0.151763
0.042,-0.21855,0.042,-0.236316,0.042,-0.0410542,0.042,-0.0226302
0.043,-0.238454,0.043,0.133644,0.043,0.141705,0.043,0.112424
0.044,-0.168542,0.044,-0.0329937,0.044,-0.238619,0.044,0.208492
0.045,-0.0436862,0.045,-0.12972,0.045,0.198622,0.045,0.214249
0.046,0.089394,0.046,0.204873,0.046,-0.116066,0.046,0.125419
0.047,0.195661,0.047,-0.237632,0.047,-0.0492792,0.047,-0.00601577
0.048,0.223132,0.048,0.137263,0.048,0.148285,0.048,-0.137122
0.049,0.145159,0.049,-0.0379287,0.049,-0.241086,0.049,-0.226117
0.05,0.0160272,0.05,-0.125114,0.05,0.192864,0.05,-0.232861
0.051,-0.118369,0.051,0.202734,0.051,-0.108828,0.051,-0.153737
0.052,-0.216411,0.052,-0.23977,0.052,-0.0584912,0.052,-0.0244397
0.053,-0.23829,0.053,0.141869,0.053,0.155523,0.053,0.110121
0.054,-0.171174,0.054,-0.0435217,0.054,-0.242402,0.054,0.208163
0.055,-0.0454957,0.055,-0.11985,0.055,0.189245,0.055,0.215072
0.056,0.0902165,0.056,0.19928,0.056,-0.10159,0.056,0.126406
0.057,0.194345,0.057,-0.240264,0.057,-0.0654002,0.057,-0.00453527
0.058,0.223626,0.058,0.146146,0.058,0.161938,0.058,-0.136464
0.059,0.146311,0.059,-0.0484567,0.059,-0.243718,0.059,-0.225788
0.06,0.0184947,0.06,-0.115079,0.06,0.182994,0.06,-0.233355
0.061,-0.116231,0.061,0.19599,0.061,-0.0928716,0.061,-0.153737
0.062,-0.215918,0.062,-0.24158,0.062,-0.0741187,0.062,-0.0244397
0.063,-0.238948,0.063,0.150259,0.063,0.16786,0.063,0.110121
0.064,-0.171009,0.064,-0.0538852,0.064,-0.244541,0.064,0.208327
0.065,-0.0481277,0.065,-0.110144,0.065,0.178224,0.065,0.215565
0.066,0.087091,0.066,0.194345,0.066,-0.0853046,0.066,0.126735
0.067,0.194838,0.067,-0.242402,0.067,-0.0816857,0.067,-0.00469977
0.068,0.224613,0.068,0.15322,0.068,0.173289,0.068,-0.136793
0.069,0.147627,0.069,-0.0596427,0.069,-0.24487,0.069,-0.226117
0.07,0.0201397,0.07,-0.106361,0.07,0.171973,0.07,-0.232697
0.071,-0.11475,0.071,0.190726,0.071,-0.0780667,0.071,-0.15423
0.072,-0.214931,0.072,-0.243883,0.072,-0.0899106,0.072,-0.0247687
0.073,-0.23977,0.073,0.158484,0.073,0.178882,0.073,0.110285
0.074,-0.172983,0.074,-0.0642487,0.074,-0.243883,0.074,0.207834
0.075,-0.0501017,0.075,-0.100932,0.075,0.166709,0.075,0.215072
0.076,0.0846235,0.076,0.186778,0.076,-0.0700062,0.076,0.127229
0.077,0.193029,0.077,-0.243718,0.077,-0.0981356,0.077,-0.00469977
0.078,0.225435,0.078,0.162103,0.078,0.184475,0.078,-0.136464
0.079,0.150752,0.079,-0.0683612,0.079,-0.242567,0.079,-0.225952
0.08,0.0211267,0.08,-0.0966551,0.08,0.160951,0.08,-0.23319
0.081,-0.112776,0.081,0.183817,0.081,-0.0616167,0.081,-0.154724
0.082,-0.214273,0.082,-0.244047,0.082,-0.106196,0.082,-0.0249332
0.083,-0.238948,0.083,0.166215,0.083,0.188916,0.083,0.109627
0.084,-0.174299,0.084,-0.0751057,0.084,-0.240264,0.084,0.20734
0.085,-0.0525692,0.085,-0.0912266,0.085,0.153713,0.085,0.215565
0.086,0.0833075,0.086,0.180856,0.086,-0.0517467,0.086,0.127887
0.087,0.191877,0.087,-0.245363,0.087,-0.113928,0.087,-0.00289027
0.088,0.224448,0.088,0.169999,0.088,0.194345,0.088,-0.135313
0.089,0.150588,0.089,-0.0790537,0.089,-0.238783,0.089,-0.22513
0.09,0.0239232,0.09,-0.0862916,0.09,0.146969,0.09,-0.234013
0.091,-0.111296,0.091,0.176908,0.091,-0.0443442,0.091,-0.155382
0.092,-0.213286,0.092,-0.246679,0.092,-0.12133,0.092,-0.0257557
0.093,-0.239935,0.093,0.173124,0.093,0.198457,0.093,0.109134
0.094,-0.175122,0.094,-0.0836597,0.094,-0.236809,0.094,0.206847
0.095,-0.0538852,0.095,-0.0823437,0.095,0.139073,0.095,0.215236
0.096,0.0819915,0.096,0.173618,0.096,-0.0359547,0.096,0.129367
0.097,0.190397,0.097,-0.245528,0.097,-0.128733,0.097,-0.00223227
0.098,0.224284,0.098,0.176414,0.098,0.202241,0.098,-0.134655
0.099,0.151904,0.099,-0.0889236,0.099,-0.235493,0.099,-0.224636
0.1,0.0260617,0.1,-0.0767507,0.1,0.132657,0.1,-0.234177
0.101,-0.108993,0.101,0.170657,0.101,-0.0278942,0.101,-0.156204
0.102,-0.212792,0.102,-0.245528,0.102,-0.136464,0.102,-0.0267427
0.103,-0.240428,0.103,0.17954,0.103,0.206682,0.103,0.107818
0.104,-0.177096,0.104,-0.0936941,0.104,-0.232203,0.104,0.207011
0.105,-0.0543787,0.105,-0.0711577,0.105,0.12509,0.105,0.215401
0.106,0.08084,0.106,0.166544,0.106,-0.0193402,0.106,0.128216
0.107,0.189245,0.107,-0.244705,0.107,-0.143373,0.107,-0.00223227
0.108,0.225929,0.108,0.182994,0.108,0.210795,0.108,-0.134655
0.109,0.154371,0.109,-0.0984646,0.109,-0.229736,0.109,-0.224636
0.11,0.0280357,0.11,-0.0673742,0.11,0.117852,0.11,-0.233684
0.111,-0.10669,0.111,0.163583,0.111,-0.0112798,0.111,-0.156204
0.112,-0.210983,0.112,-0.24306,0.112,-0.150776,0.112,-0.0275652
0.113,-0.240922,0.113,0.185297,0.113,0.214085,0.113,0.107653
0.114,-0.178741,0.114,-0.103893,0.114,-0.226446,0.114,0.207176
0.115,-0.0571752,0.115,-0.0626037,0.115,0.109792,0.115,0.216717
0.116,0.076892,0.116,0.159306,0.116,-0.00289027,0.116,0.129696
0.117,0.188258,0.117,-0.242567,0.117,-0.15752,0.117,-0.00124528
0.118,0.22708,0.118,0.18941,0.118,0.216717,0.118,-0.133997
0.119,0.156345,0.119,-0.108664,0.119,-0.223156,0.119,-0.224965
0.12,0.0308322,0.12,-0.0576687,0.12,0.102883,0.12,-0.234013
0.121,-0.10669,0.121,0.155358,0.121,0.00517021,0.121,-0.156533
0.122,-0.209338,0.122,-0.241086,0.122,-0.1641,0.122,-0.0283877
0.123,-0.240922,0.123,0.192535,0.123,0.220336,0.123,0.107818
0.124,-0.180221,0.124,-0.113928,0.124,-0.219701,0.124,0.206682
0.125,-0.0594782,0.125,-0.0514177,0.125,0.095645,0.125,0.216552
0.126,0.0754115,0.126,0.149765,0.126,0.0142177,0.126,0.129861
0.127,0.187107,0.127,-0.239112,0.127,-0.170351,0.127,-0.00173878
0.128,0.226751,0.128,0.195167,0.128,0.22231,0.128,-0.133832
0.129,0.157168,0.129,-0.118534,0.129,-0.215918,0.129,-0.224636
0.13,0.0316547,0.13,-0.0459892,0.13,0.0872555,0.13,-0.234342
0.131,-0.1034,0.131,0.146804,0.131,0.0232652,0.131,-0.156533
0.132,-0.208351,0.132,-0.237632,0.132,-0.177918,0.132,-0.0283877
0.133,-0.241251,0.133,0.198622,0.133,0.2256,0.133,0.106337
0.134,-0.181537,0.134,-0.12314,0.134,-0.210654,0.134,0.206024
0.135,-0.0612877,0.135,-0.0403962,0.135,0.0780435,0.135,0.21721
0.136,0.0744245,0.136,0.142527,0.136,0.0324772,0.136,0.130519
0.137,0.186613,0.137,-0.237138,0.137,-0.184005,0.137,-0.000916278
0.138,0.227738,0.138,0.20076,0.138,0.227245,0.138,-0.132516
0.139,0.159142,0.139,-0.12791,0.139,-0.206541,0.139,-0.224472
0.14,0.0339576,0.14,-0.0354612,0.14,0.0703121,0.14,-0.234177
0.141,-0.101919,0.141,0.137757,0.141,0.0410311,0.141,-0.157356
0.142,-0.208022,0.142,-0.236316,0.142,-0.189598,0.142,-0.0287167
0.143,-0.241251,0.143,0.204544,0.143,0.228889,0.143,0.107653
0.144,-0.182689,0.144,-0.132516,0.144,-0.201606,0.144,0.206189
0.145,-0.0637552,0.145,-0.0315132,0.145,0.0620871,0.145,0.216388
0.146,0.0719571,0.146,0.133315,0.146,0.0489271,0.146,0.130025
0.147,0.184639,0.147,-0.235,0.147,-0.194533,0.147,-0.000587278
0.148,0.228232,0.148,0.205366,0.148,0.230699,0.148,-0.132023
0.149,0.159306,0.149,-0.136958,0.149,-0.197,0.149,-0.223978
0.15,0.0364251,0.15,-0.0254267,0.15,0.0538621,0.15,-0.235329
0.151,-0.0999451,0.151,0.129203,0.151,0.0568231,0.151,-0.158014
0.152,-0.207364,0.152,-0.232532,0.152,-0.199961,0.152,-0.0305262
0.153,-0.242567,0.153,0.208821,0.153,0.231357,0.153,0.106173
0.154,-0.184992,0.154,-0.141235,0.154,-0.191901,0.154,0.205366
0.155,-0.0650712,0.155,-0.0199982,0.155,0.0451436,0.155,0.217375
0.156,0.0699831,0.156,0.125255,0.156,0.0657061,0.156,0.131341
0.157,0.182665,0.157,-0.231216,0.157,-0.204896,0.157,0.000893219
0.158,0.228067,0.158,0.210301,0.158,0.229218,0.158,-0.131529
0.159,0.160951,0.159,-0.146499,0.159,-0.18565,0.159,-0.223649
0.16,0.0375766,0.16,-0.0147343,0.16,0.0357671,0.16,-0.234835
0.161,-0.0984646,0.161,0.119004,0.161,0.073931,0.161,-0.158672
0.162,-0.205719,0.162,-0.229571,0.162,-0.210489,0.162,-0.0298682
0.163,-0.242731,0.163,0.212933,0.163,0.228067,0.163,0.106008
0.164,-0.184827,0.164,-0.150282,0.164,-0.178905,0.164,0.205366
