Time - Voltage,Amplitude - Voltage,Time - Voltage (FFT - (Peak)),Amplitude - Voltage (FFT - (Peak)),Time - Voltage,Amplitude - Voltage,Time - Voltage (FFT - (Peak)),Amplitude - Voltage (FFT - (Peak)),Time - Voltage,Amplitude - Voltage,Time - Voltage (FFT - (Peak)),Amplitude - Voltage (FFT - (Peak)),Time - Voltage,Amplitude - Voltage,Time - Voltage (FFT - (Peak)),Amplitude - Voltage (FFT - (Peak))
0,-0.00303712,0,0.0036591,0,-0.00303712,0,0.00380653,0,-0.00402418,0,0.00412772,0,-0.00369516,0,0.00391427
0.001,-0.0027081,0.25,0.00248926,0.001,-0.0027081,0.25,0.00277308,0.001,-0.00369516,0.25,0.00301049,0.001,-0.00336614,0.25,0.00284933
0.002,-0.00303712,0.5,5.37E-05,0.002,-0.00303712,0.5,0.00014633,0.002,-0.00369516,0.5,0.000124944,0.002,-0.00303712,0.5,0.000129389
0.003,-0.0027081,0.75,6.04E-05,0.003,-0.0027081,0.75,9.78E-05,0.003,-0.00369516,0.75,8.87E-05,0.003,-0.00303712,0.75,8.74E-05
0.004,-0.00303712,1,5.42E-05,0.004,-0.00336614,1,5.02E-05,0.004,-0.00402418,1,8.95E-05,0.004,-0.00303712,1,5.12E-05
0.005,-0.00336614,1.25,8.98E-05,0.005,-0.00303712,1.25,7.68E-05,0.005,-0.00369516,1.25,0.00010309,0.005,-0.0027081,1.25,6.36E-05
0.006,-0.00336614,1.5,8.12E-05,0.006,-0.00303712,1.5,0.000103245,0.006,-0.00402418,1.5,7.50E-05,0.006,-0.00303712,1.5,6.22E-05
0.007,-0.00303712,1.75,7.06E-05,0.007,-0.00303712,1.75,9.72E-05,0.007,-0.00336614,1.75,4.06E-05,0.007,-0.00237908,1.75,5.47E-05
0.008,-0.00303712,2,2.75E-05,0.008,-0.00303712,2,7.15E-05,0.008,-0.00336614,2,2.94E-05,0.008,-0.0027081,2,3.45E-05
0.009,-0.0027081,2.25,3.85E-05,0.009,-0.00303712,2.25,7.91E-05,0.009,-0.00369516,2.25,2.80E-05,0.009,-0.0027081,2.25,4.13E-05
0.01,-0.00369516,2.5,6.16E-05,0.01,-0.00336614,2.5,9.11E-05,0.01,-0.00336614,2.5,2.99E-05,0.01,-0.00303712,2.5,2.87E-05
0.011,-0.00336614,2.75,8.76E-05,0.011,-0.0027081,2.75,7.73E-05,0.011,-0.00369516,2.75,7.90E-05,0.011,-0.00303712,2.75,2.49E-05
0.012,-0.0027081,3,7.37E-05,0.012,-0.00303712,3,1.89E-05,0.012,-0.0027081,3,0.00014628,0.012,-0.00303712,3,4.44E-05
0.013,-0.00237908,3.25,5.40E-05,0.013,-0.0027081,3.25,9.17E-05,0.013,-0.00369516,3.25,0.000154708,0.013,-0.00303712,3.25,2.45E-05
0.014,-0.0027081,3.5,4.64E-05,0.014,-0.00303712,3.5,0.00016486,0.014,-0.00369516,3.5,0.000133559,0.014,-0.0027081,3.5,3.28E-05
0.015,-0.00205007,3.75,2.42E-05,0.015,-0.0027081,3.75,0.000218557,0.015,-0.00402418,3.75,9.86E-05,0.015,-0.00336614,3.75,4.05E-05
0.016,-0.0027081,4,7.40E-05,0.016,-0.0027081,4,0.000244892,0.016,-0.00369516,4,7.93E-05,0.016,-0.00336614,4,4.12E-05
0.017,-0.00237908,4.25,9.32E-05,0.017,-0.0027081,4.25,0.000160373,0.017,-0.0043532,4.25,0.000102066,0.017,-0.00336614,4.25,2.33E-05
0.018,-0.0027081,4.5,8.72E-05,0.018,-0.00336614,4.5,0.000107437,0.018,-0.00369516,4.5,0.000118966,0.018,-0.00237908,4.5,0.00010735
0.019,-0.00237908,4.75,6.11E-05,0.019,-0.00303712,4.75,7.70E-05,0.019,-0.00402418,4.75,4.34E-05,0.019,-0.00303712,4.75,0.000108794
0.02,-0.00237908,5,7.25E-05,0.02,-0.0027081,5,0.000119277,0.02,-0.00402418,5,9.41E-05,0.02,-0.00237908,5,5.72E-05
