RC1 Time (microsec),RC1 Time (sec),RC1 Voltage,RC1 Offset Voltage,RC1 Offset Time,RC1 Vlog,RC1 Freq (Hz),RC2 Time (microsec),RC2 Time (sec),RC2 Voltage,RC2 Vlog,RC2 Offset Time,RC2 Freq (Hz),RC3 Time (millisec),RC3 Time (sec),RC3 Voltage,RC3 Time Offset,RC3 Freq,OAC 1 Vs+,OAC1 Vs-,OAC1 Time (millisec),OAC1 Time (sec),OAC1 Voltage,OAC1 Offset Time (sec),OAC1 Offset Voltage,OAC2 Pk-Pk,OAC1 Freq
-110,-0.00011,-1.02,0,0,#NUM!,469,8,0.000008,1.88,0.631271777,0,469,-6,-0.006,1.04,0,88,5.98,-6,1,0.001,5.24,0,2.48,0.007,7
-70,-0.00007,-0.64,0.38,0.00004,-0.967584026,469,20,0.00002,1.7,0.530628251,0.000012,469,-5.8,-0.0058,0.48,0.0002,88,5.98,-6,3,0.003,4.08,0.002,1.32,0.006,7
-50,-0.00005,-0.36,0.66,0.00006,-0.415515444,469,36,0.000036,1.48,0.392042088,0.000028,469,-5.7,-0.0057,0.02,0.0003,88,5.98,-6,4,0.004,2,0.003,-0.76,0.006,7
-30,-0.00003,-0.14,0.88,0.00008,-0.127833372,469,48,0.000048,1.34,0.292669614,0.00004,469,-5.6,-0.0056,-0.3,0.0004,88,5.98,-6,5,0.005,0.88,0.004,-1.88,0.006,7
-10,-0.00001,0.06,1.08,0.0001,0.076961041,469,68,0.000068,1.12,0.113328685,0.00006,469,-5.5,-0.0055,-0.5,0.0005,88,5.98,-6,6,0.006,1.48,0.005,-1.28,0.006,7
20,0.00002,0.28,1.3,0.00013,0.262364264,469,84,0.000084,0.98,-0.020202707,0.000076,469,-5.3,-0.0053,-0.78,0.0007,88,5.98,-6,7,0.007,2.92,0.006,0.16,0.006,7
50,0.00005,0.46,1.48,0.00016,0.392042088,469,100,0.0001,0.86,-0.15082289,0.000092,469,-5.1,-0.0051,`-0.9,0.0009,88,5.98,-6,8,0.008,3.96,0.007,1.2,0.006,7
80,0.00008,0.58,1.6,0.00019,0.470003629,469,120,0.00012,0.72,-0.328504067,0.000112,469,-4.9,-0.0049,-0.98,0.0011,88,5.98,-6,9,0.009,3.84,0.008,1.08,0.006,7
130,0.00013,0.74,1.76,0.00024,0.565313809,469,144,0.000144,0.58,-0.544727175,0.000136,469,-4.1,-0.0041,-1.02,0.0019,88,5.98,-6,10,0.01,2.88,0.009,0.12,0.006,7
180,0.00018,0.86,1.88,0.00029,0.631271777,469,176,0.000176,0.44,-0.820980552,0.000168,469,-2.9,-0.0029,-1.02,0.0031,88,5.98,-6,11,0.011,2,0.01,-0.76,0.006,7
200,0.0002,0.88,1.9,0.00031,0.641853886,469,200,0.0002,0.36,-1.021651248,0.000192,469,-0.0004,-0.0000004,-1.02,0.0059996,88,5.98,-6,12,0.012,1.88,0.011,-0.88,0.006,7
230,0.00023,0.92,1.94,0.00034,0.662687973,469,224,0.000224,0.3,-1.203972804,0.000216,469,-0.0002,-0.0000002,-0.56,0.0059998,88,5.98,-6,13,0.013,2.48,0.012,-0.28,0.006,7
290,0.00029,0.96,1.98,0.0004,0.683096845,469,244,0.000244,0.26,-1.347073648,0.000236,469,-0.0001,-0.0000001,-0.1,0.0059999,88,5.98,-6,14,0.014,3.16,0.013,0.4,0.006,7
370,0.00037,1,2.02,0.00048,0.703097511,469,276,0.000276,0.2,-1.609437912,0.000268,469,0,0,0.24,0.006,88,5.98,-6,15,0.015,3.4,0.014,0.64,0.006,7
450,0.00045,1.02,2.04,0.00056,0.712949808,469,320,0.00032,0.14,-1.966112856,0.000312,469,0.0001,0.0000001,0.48,0.0060001,88,5.98,-6,16,0.016,3.08,0.015,0.32,0.006,7
