RC1 Time,RC1 V,RC2 T,RC2 V,RC3 T,RC3 V,OA1 T,OA1 V
0,0.01,0,1.87,0,2.07,0,4.37
0.00004,0.39,0.000012,1.69,0.0002,1.51,0.002,3.21
0.00006,0.67,0.000028,1.47,0.0003,1.05,0.003,1.13
0.00008,0.89,0.00004,1.33,0.0004,0.73,0.004,0.01
0.0001,1.09,0.00006,1.11,0.0005,0.53,0.005,0.61
0.00013,1.31,0.000076,0.97,0.0007,0.25,0.006,2.05
0.00016,1.49,0.000092,0.85,0.0009,0.13,0.007,3.09
0.00019,1.61,0.000112,0.71,0.0011,0.05,0.008,2.97
0.00024,1.77,0.000136,0.57,0.0019,0.01,0.009,2.01
0.00029,1.89,0.000168,0.43,0.0031,0.01,0.01,1.13
0.00031,1.91,0.000192,0.35,0.0059996,0.01,0.011,1.01
0.00034,1.95,0.000216,0.29,0.0059998,0.47,0.012,1.61
0.0004,1.99,0.000236,0.25,0.0059999,0.93,0.013,2.29
0.00048,2.03,0.000268,0.19,0.006,1.27,0.014,2.53
0.00056,2.05,0.000312,0.13,0.0060001,1.51,0.015,2.21
0.00061,2.05,0.000352,0.09,0.0060002,1.69,0.016,1.69
0.00068,2.07,0.000388,0.07,0.0060006,1.97,0.017,1.41
0.00095,2.07,0.000424,0.05,0.0072,2.05,0.018,1.57
0.00107,2.07,0.000468,0.05,0.0081,2.07,0.019,1.93
,,0.000508,0.03,0.0097,2.07,0.02,2.17
,,0.000584,0.03,0.0112,2.07,0.021,2.13
,,0.000716,0.01,,,0.022,1.93
,,0.000808,0.01,,,0.023,1.69
,,,,,,0.024,1.65
,,,,,,0.025,1.81
,,,,,,0.026,1.97
,,,,,,0.027,2.05
,,,,,,0.028,1.97
,,,,,,0.029,1.81
,,,,,,0.03,1.77
,,,,,,0.031,1.81
,,,,,,0.032,1.89
,,,,,,0.033,1.97
,,,,,,0.034,1.93
,,,,,,0.035,1.89
,,,,,,0.036,1.81
,,,,,,0.037,1.81
,,,,,,0.038,1.85
,,,,,,0.039,1.93
,,,,,,0.04,1.93
,,,,,,0.041,1.89
,,,,,,0.042,1.85
,,,,,,0.043,1.85
,,,,,,0.044,1.85
,,,,,,0.046,1.89
,,,,,,0.047,1.89
,,,,,,0.048,1.89
,,,,,,0.049,1.85
,,,,,,0.05,1.85
,,,,,,0.051,1.89
,,,,,,0.052,1.89
,,,,,,0.053,1.89
,,,,,,0.054,1.89
,,,,,,0.055,1.89
,,,,,,0.056,1.89
,,,,,,0.057,1.89
,,,,,,0.058,1.89
,,,,,,0.059,1.89
,,,,,,0.06,1.89
,,,,,,0.061,1.89
,,,,,,0.062,1.89
,,,,,,0.063,1.89
,,,,,,0.064,1.89
,,,,,,0.065,1.89
