OA1 Offset Time (Sec),OA1 Voltage (V),OA1 Offset Time (Sec),OA1 Voltage (V)
0,5.24,0.033,2.84
0.002,4.08,0.034,2.8
0.003,2,0.035,2.76
0.004,0.88,0.036,2.68
0.005,1.48,0.037,2.68
0.006,2.92,0.038,2.72
0.007,3.96,0.039,2.8
0.008,3.84,0.04,2.8
0.009,2.88,0.041,2.76
0.01,2,0.042,2.72
0.011,1.88,0.043,2.72
0.012,2.48,0.044,2.72
0.013,3.16,0.046,2.76
0.014,3.4,0.047,2.76
0.015,3.08,0.048,2.76
0.016,2.56,0.049,2.72
0.017,2.28,0.05,2.72
0.018,2.44,0.051,2.76
0.019,2.8,0.052,2.76
0.02,3.04,0.053,2.76
0.021,3,0.054,2.76
0.022,2.8,0.055,2.76
0.023,2.56,0.056,2.76
0.024,2.52,0.057,2.76
0.025,2.68,0.058,2.76
0.026,2.84,0.059,2.76
0.027,2.92,0.06,2.76
0.028,2.84,0.061,2.76
0.029,2.68,0.062,2.76
0.03,2.64,0.063,2.76
0.031,2.68,0.064,2.76
0.032,2.76,0.065,2.76
