Freq,RC1 A Freq,RC1 Vin,RC1 Vout,RC1 Phi,RC1 dt,RC1 T,OA2 A Freq,OA2 Vin,OA2 Vout,OA2 Phi,OA2 dt,OA2 T
100,100.2750,0.4960,0.4960,0.0000,Nan,Nan,100.00,0.464,0.4800,-185.00,Nan,Nan
178,178.7210,0.4960,0.4960,-6.4300,Nan,Nan,178.49,0.472,0.4800,-187.00,Nan,Nan
316,316.2650,0.4960,0.4880,-9.1100,Nan,Nan,316.60,0.472,0.4960,-181.00,Nan,Nan
562,562.2960,0.4960,0.4640,-17.0000,Nan,Nan,562.40,0.472,0.5360,-180.00,Nan,Nan
1000,1000.0080,0.4880,0.4080,-28.8000,0.000080,0.001000,1000.87,0.047,0.7400,-191.02,0.00052000,0.00098000
1780,1780.0660,0.4800,0.3200,-46.1000,Nan,Nan,1780.50,0.472,1.1000,-302.14,0.00047000,0.00056000
3160,3160.9600,0.4800,0.2200,-59.2405,0.0000520,0.0003160,3608.70,0.480,0.1680,-346.33,0.00030400,0.00031600
5620,5621.1000,0.4800,0.1400,-70.6000,Nan,Nan,5620.77,0.480,0.0620,-360.00,0.00017600,0.00017600
10000,10000.1000,0.0470,0.0880,-79.2000,0.00002200,0.00010000,10014.70,0.464,0.0360,-360.00,0.00010000,0.00010000
17800,17809.3000,0.4800,0.0620,-90.0000,0.00001400,0.00005600,17793.40,0.448,0.0064,-360.00,0.00005600,0.00005600
100000,100027.0000,0.4800,0.0320,-91.7647,0.00000300,0.00001000,100003.00,0.448,0.0032,-360.00,0.00001000,0.00001000
