Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage,Amplitude - Voltage,Time - Voltage_0,Amplitude - Voltage_0,Time - Voltage,Amplitude - Voltage,Time - Voltage_0,Amplitude - Voltage_0,Time - Voltage,Amplitude - Voltage,Time - Voltage_0,Amplitude - Voltage_0
0,0.00169628,0,0.00144659,0,0.0198648,0,0.0330962,0,0.00949688,0,0.00897026,0,0.00860821,0,0.00916774,0,0.0095298,0,0.0238803,0,0.0234524
0.001,0.00176211,0.001,0.00142682,0.001,0.0179229,0.001,0.0338203,0.001,0.00883861,0.001,0.00910192,0.001,0.00926649,0.001,0.00920066,0.001,0.00956271,0.001,0.0239132,0.001,0.0236499
0.002,0.00179502,0.002,0.00142023,0.002,0.0191407,0.002,0.0343469,0.002,0.00982602,0.002,0.009069,0.002,0.00985894,0.002,0.0092994,0.002,0.00873986,0.002,0.0239132,0.002,0.0237815
0.003,0.00179502,0.003,0.00145318,0.003,0.019404,0.003,0.0341494,0.003,0.00943106,0.003,0.00903609,0.003,0.00943106,0.003,0.0092994,0.003,0.00900318,0.003,0.023979,0.003,0.0244727
0.004,0.00169628,0.004,0.00145318,0.004,0.0196673,0.004,0.0351697,0.004,0.009069,0.004,0.00913483,0.004,0.00877278,0.004,0.00923357,0.004,0.00897026,0.004,0.0240119,0.004,0.024736
0.005,0.00169628,0.005,0.00144,0.005,0.019766,0.005,0.0330303,0.005,0.00900318,0.005,0.00916774,0.005,0.00923357,0.005,0.00916774,0.005,0.00910192,0.005,0.023979,0.005,0.0235511
0.006,0.00166337,0.006,0.00145977,0.006,0.0188115,0.006,0.0331949,0.006,0.00946397,0.006,0.00926649,0.006,0.00949688,0.006,0.00903609,0.006,0.00804867,0.006,0.023979,0.006,0.023222
0.007,0.00169628,0.007,0.00142682,0.007,0.0190419,0.007,0.0340507,0.007,0.00933231,0.007,0.00916774,0.007,0.00933231,0.007,0.009069,0.007,0.00920066,0.007,0.023979,0.007,0.0234853
0.008,0.00172919,0.008,0.00142682,0.008,0.0193381,0.008,0.0344456,0.008,0.00897026,0.008,0.00920066,0.008,0.00916774,0.008,0.00913483,0.008,0.00962854,0.008,0.023979,0.008,0.023979
0.009,0.00169628,0.009,0.00142682,0.009,0.0200623,0.009,0.0346102,0.009,0.00893735,0.009,0.00913483,0.009,0.00893735,0.009,0.00916774,0.009,0.00920066,0.009,0.023979,0.009,0.0241107
0.01,0.00169628,0.01,0.00145318,0.01,0.0196673,0.01,0.0340178,0.01,0.00910192,0.01,0.00926649,0.01,0.00923357,0.01,0.009069,0.01,0.00860821,0.01,0.023979,0.01,0.0244727
0.011,0.00169628,0.011,0.00145318,0.011,0.0195356,0.011,0.0330962,0.011,0.0092994,0.011,0.00923357,0.011,0.00926649,0.011,0.00916774,0.011,0.00900318,0.011,0.0240448,0.011,0.023979
0.012,0.00166337,0.012,0.00143341,0.012,0.0182849,0.012,0.0343798,0.012,0.00867404,0.012,0.00916774,0.012,0.00867404,0.012,0.00916774,0.012,0.00959563,0.012,0.0240448,0.012,0.0233866
0.013,0.00172919,0.013,0.00147294,0.013,0.0187128,0.013,0.0342482,0.013,0.0092994,0.013,0.00910192,0.013,0.00936523,0.013,0.00923357,0.013,0.0092994,0.013,0.0240448,0.013,0.0238474
0.014,0.00172919,0.014,0.00145318,0.014,0.0195356,0.014,0.0346102,0.014,0.00933231,0.014,0.00903609,0.014,0.00936523,0.014,0.00913483,0.014,0.00824615,0.014,0.023979,0.014,0.0242094
0.015,0.00172919,0.015,0.00145977,0.015,0.0198319,0.015,0.0344456,0.015,0.00897026,0.015,0.009069,0.015,0.00864112,0.015,0.00910192,0.015,0.00916774,0.015,0.023979,0.015,0.0244398
0.016,0.00169628,0.016,0.00145977,0.016,0.0196015,0.016,0.0334911,0.016,0.00946397,0.016,0.00903609,0.016,0.00890443,0.016,0.00910192,0.016,0.00979311,0.016,0.0239461,0.016,0.0243411
0.017,0.00172919,0.017,0.00145977,0.017,0.0191078,0.017,0.0334582,0.017,0.009069,0.017,0.00900318,0.017,0.00897026,0.017,0.00920066,0.017,0.0095298,0.017,0.0239132,0.017,0.0239461
0.018,0.00169628,0.018,0.00142682,0.018,0.0189103,0.018,0.0342811,0.018,0.00890443,0.018,0.00913483,0.018,0.00923357,0.018,0.00916774,0.018,0.00870695,0.018,0.0239461,0.018,0.0239132
0.019,0.00172919,0.019,0.00147294,0.019,0.0190748,0.019,0.0341494,0.019,0.00857529,0.019,0.00913483,0.019,0.00877278,0.019,0.00926649,0.019,0.00903609,0.019,0.0239461,0.019,0.0237157
0.02,0.00176211,0.02,0.00145318,0.02,0.0195027,0.02,0.034676,0.02,0.00867404,0.02,0.00913483,0.02,0.00873986,0.02,0.00926649,0.02,0.00966145,0.02,0.0239461,0.02,0.0238144
0.021,0.00169628,0.021,0.00144,0.021,0.0201939,0.021,0.034314,0.021,0.00903609,0.021,0.00923357,0.021,0.00939814,0.021,0.00923357,0.021,0.0095298,0.021,0.0239132,0.021,0.0240448
0.022,0.00176211,0.022,0.00143341,0.022,0.0202268,0.022,0.0334253,0.022,0.00926649,0.022,0.00920066,0.022,0.00939814,0.022,0.00913483,0.022,0.00847655,0.022,0.023979,0.022,0.0238144
0.023,0.00169628,0.023,0.00145318,0.023,0.0187128,0.023,0.0335899,0.023,0.00824615,0.023,0.0092994,0.023,0.00860821,0.023,0.00913483,0.023,0.00916774,0.023,0.0239461,0.023,0.0245385
0.024,0.00169628,0.024,0.00145977,0.024,0.0189432,0.024,0.0340178,0.024,0.00910192,0.024,0.009069,0.024,0.009069,0.024,0.00900318,0.024,0.0092994,0.024,0.0240119,0.024,0.0230903
0.025,0.00172919,0.025,0.00143341,0.025,0.0195685,0.025,0.034314,0.025,0.00943106,0.025,0.00897026,0.025,0.00962854,0.025,0.00910192,0.025,0.00956271,0.025,0.0240119,0.025,0.0238803
0.026,0.00179502,0.026,0.00146635,0.026,0.0196344,0.026,0.0341823,0.026,0.00910192,0.026,0.00916774,0.026,0.00933231,0.026,0.00913483,0.026,0.00841072,0.026,0.0240448,0.026,0.0241765
0.027,0.00169628,0.027,0.00144659,0.027,0.0197331,0.027,0.0345444,0.027,0.00900318,0.027,0.00920066,0.027,0.00860821,0.027,0.00920066,0.027,0.00893735,0.027,0.0240119,0.027,0.0241436
0.028,0.00172919,0.028,0.00142682,0.028,0.0196673,0.028,0.033524,0.028,0.00923357,0.028,0.00913483,0.028,0.00877278,0.028,0.00916774,0.028,0.00939814,0.028,0.023979,0.028,0.0245056
0.029,0.00169628,0.029,0.00144659,0.029,0.0185482,0.029,0.0340507,0.029,0.00949688,0.029,0.00910192,0.029,0.00939814,0.029,0.00913483,0.029,0.00969437,0.029,0.023979,0.029,0.0244398
0.03,0.00176211,0.03,0.00145318,0.03,0.019009,0.03,0.0344456,0.03,0.00897026,0.03,0.009069,0.03,0.00910192,0.03,0.00923357,0.03,0.00854238,0.03,0.023979,0.03,0.0233866
0.031,0.00172919,0.031,0.00144659,0.031,0.0197989,0.031,0.0341823,0.031,0.00873986,0.031,0.00926649,0.031,0.00847655,0.031,0.00913483,0.031,0.009069,0.031,0.0239461,0.031,0.0237157
0.032,0.00169628,0.032,0.00143341,0.032,0.019766,0.032,0.0346431,0.032,0.00933231,0.032,0.00910192,0.032,0.00923357,0.032,0.00913483,0.032,0.00939814,0.032,0.0240119,0.032,0.0241436
0.033,0.00176211,0.033,0.00145318,0.033,0.0197989,0.033,0.0334582,0.033,0.00943106,0.033,0.00900318,0.033,0.0092994,0.033,0.00910192,0.033,0.0095298,0.033,0.023979,0.033,0.0244069
0.034,0.00176211,0.034,0.00144,0.034,0.0189432,0.034,0.0332607,0.034,0.00900318,0.034,0.009069,0.034,0.00936523,0.034,0.00923357,0.034,0.00900318,0.034,0.0239132,0.034,0.0241436
0.035,0.00176211,0.035,0.00144,0.035,0.0188774,0.035,0.0337544,0.035,0.00893735,0.035,0.009069,0.035,0.00798284,0.035,0.00920066,0.035,0.00873986,0.035,0.0239132,0.035,0.0244069
0.036,0.00169628,0.036,0.00144,0.036,0.0189761,0.036,0.0343798,0.036,0.00923357,0.036,0.00910192,0.036,0.00926649,0.036,0.00923357,0.036,0.00920066,0.036,0.0240119,0.036,0.0236828
0.037,0.00172919,0.037,0.00142023,0.037,0.0196015,0.037,0.0342482,0.037,0.00926649,0.037,0.00916774,0.037,0.00969437,0.037,0.00920066,0.037,0.00939814,0.037,0.023979,0.037,0.0241107
0.038,0.00169628,0.038,0.00145318,0.038,0.0198977,0.038,0.0343798,0.038,0.00831198,0.038,0.00916774,0.038,0.00946397,0.038,0.00920066,0.038,0.00880569,0.038,0.0239461,0.038,0.0244727
0.039,0.00172919,0.039,0.00145318,0.039,0.0200952,0.039,0.0331291,0.039,0.00873986,0.039,0.00933231,0.039,0.00890443,0.039,0.00916774,0.039,0.00903609,0.039,0.0239461,0.039,0.0241436
0.04,0.00169628,0.04,0.00144659,0.04,0.0185153,0.04,0.0337544,0.04,0.00933231,0.04,0.00926649,0.04,0.009069,0.04,0.00897026,0.04,0.00910192,0.04,0.0239461,0.04,0.0233866
0.041,0.00169628,0.041,0.00142682,0.041,0.0187128,0.041,0.0340836,0.041,0.00933231,0.041,0.00913483,0.041,0.00943106,0.041,0.00903609,0.041,0.00939814,0.041,0.0240448,0.041,0.0233536
0.042,0.00169628,0.042,0.00143341,0.042,0.0194698,0.042,0.0340178,0.042,0.00893735,0.042,0.00920066,0.042,0.00959563,0.042,0.00910192,0.042,0.00916774,0.042,0.0240119,0.042,0.0244398
0.043,0.00176211,0.043,0.00142023,0.043,0.019766,0.043,0.0347089,0.043,0.00890443,0.043,0.00913483,0.043,0.0083449,0.043,0.00916774,0.043,0.00916774,0.043,0.023979,0.043,0.0242752
0.044,0.00176211,0.044,0.00143341,0.044,0.0196673,0.044,0.0341823,0.044,0.00910192,0.044,0.00923357,0.044,0.00883861,0.044,0.00913483,0.044,0.00910192,0.044,0.0240448,0.044,0.0242094
0.045,0.00172919,0.045,0.00142023,0.045,0.0198319,0.045,0.0336557,0.045,0.00936523,0.045,0.00916774,0.045,0.0095298,0.045,0.00920066,0.045,0.0095298,0.045,0.0240119,0.045,0.0235511
0.046,0.00176211,0.046,0.00143341,0.046,0.019009,0.046,0.0344127,0.046,0.00903609,0.046,0.00910192,0.046,0.0092994,0.046,0.00913483,0.046,0.00969437,0.046,0.0240119,0.046,0.0234195
0.047,0.00176211,0.047,0.00145318,0.047,0.0188774,0.047,0.0341823,0.047,0.00903609,0.047,0.00910192,0.047,0.00814741,0.047,0.00913483,0.047,0.00837781,0.047,0.023979,0.047,0.0236828
0.048,0.00172919,0.048,0.00143341,0.048,0.0195685,0.048,0.034314,0.048,0.00910192,0.048,0.00910192,0.048,0.00897026,0.048,0.00910192,0.048,0.00913483,0.048,0.023979,0.048,0.024374
0.049,0.00169628,0.049,0.00144659,0.049,0.0196015,0.049,0.0344127,0.049,0.00887152,0.049,0.00903609,0.049,0.009069,0.049,0.009069,0.049,0.00943106,0.049,0.023979,0.049,0.0246702
0.05,0.00176211,0.05,0.00142682,0.05,0.0200623,0.05,0.0333924,0.05,0.00910192,0.05,0.00893735,0.05,0.00936523,0.05,0.00910192,0.05,0.00956271,0.05,0.0239132,0.05,0.0246373
0.051,0.00172919,0.051,0.00144,0.051,0.0200952,0.051,0.0332936,0.051,0.00887152,0.051,0.00913483,0.051,0.00847655,0.051,0.00920066,0.051,0.00936523,0.051,0.0240119,0.051,0.023979
0.052,0.00172919,0.052,0.00145318,0.052,0.0184166,0.052,0.0337544,0.052,0.00949688,0.052,0.00923357,0.052,0.00877278,0.052,0.00913483,0.052,0.0083449,0.052,0.0239461,0.052,0.0236828
0.053,0.00176211,0.053,0.00144659,0.053,0.019404,0.053,0.0345444,0.053,0.00969437,0.053,0.00923357,0.053,0.00962854,0.053,0.00916774,0.053,0.00870695,0.053,0.0239461,0.053,0.0237157
0.054,0.00169628,0.054,0.00144,0.054,0.0197989,0.054,0.0339519,0.054,0.00887152,0.054,0.00913483,0.054,0.00910192,0.054,0.00920066,0.054,0.00844364,0.054,0.0239132,0.054,0.0240119
