Vin (V),Vout (V),Vout/Vin
5.06,4.58,0.905
4.96,2.541,0.512
5.06,2.509,0.496
5.06,2.515,0.497
5.04,2.526,0.501
5.05,2.536,0.502
5.01,2.499,0.499
5.04,2.523,0.501
5.05,2.491,0.493
5.06,2.533,0.501
5.05,2.489,0.493
5.05,2.513,0.498
5.04,2.483,0.493
5.01,2.480,0.495
5.06,2.526,0.499
5.00,2.457,0.491
5.02,2.526,0.503
5.05,2.519,0.499
5.05,2.549,0.505
5.06,2.526,0.499
5.07,2.531,0.499
5.08,2.556,0.503
5.07,2.524,0.498
5.07,2.536,0.500
5.07,2.52,0.497
5.07,2.527,0.498
5.07,2.538,0.501
5.07,2.557,0.504
5.07,2.529,0.499
5.07,2.514,0.496
5.07,2.562,0.505
5.07,2.535,0.500
5.05,2.525,0.500
5.06,2.518,0.498
5.07,2.529,0.499
5.07,2.543,0.502
5.06,2.548,0.504
5.07,2.515,0.496
5.07,2.541,0.501
5.07,2.528,0.499
5.05,2.52,0.499
5.05,2.47,0.489
5.03,2.528,0.503
5.05,2.513,0.498
5.05,2.513,0.498
5.05,2.533,0.502
5.05,2.542,0.503
5.05,2.538,0.503
5.05,2.532,0.501
5.05,2.53,0.501
5.05,2.539,0.503
5.05,2.536,0.502
5.05,2.521,0.499
5.05,2.545,0.504
5.04,2.541,0.504
5.05,2.527,0.500
5.04,2.509,0.498
5.04,2.513,0.499
5.04,2.503,0.497
5.04,2.538,0.504
5.080,2.505,0.493
5.080,2.533,0.499
5.080,2.536,0.499
5.080,2.513,0.495
5.080,2.526,0.497
5.080,2.524,0.497
5.080,2.561,0.504
5.080,2.525,0.497
5.080,2.526,0.497
5.080,2.503,0.493
5.080,2.546,0.501
5.080,2.536,0.499
5.080,2.525,0.497
5.080,2.514,0.495
5.080,2.529,0.498
5.080,2.551,0.502
5.080,2.541,0.500
5.080,2.505,0.493
5.080,2.517,0.495
5.080,2.541,0.500
4.97,2.494,0.502
4.98,2.469,0.496
4.95,2.462,0.497
4.97,2.505,0.504
4.97,2.515,0.506
4.97,2.479,0.499
4.97,2.491,0.501
4.97,2.479,0.499
4.97,2.494,0.502
4.96,2.482,0.500
4.97,2.462,0.495
4.97,2.479,0.499
4.97,2.476,0.498
4.97,2.479,0.499
4.98,2.48,0.498
4.97,2.506,0.504
4.96,2.521,0.508
4.97,2.49,0.501
4.97,2.474,0.498
4.97,2.473,0.498
5.06,2.524,0.499
5.06,2.472,0.489
5.04,2.519,0.500
5.06,2.538,0.502
5.06,2.506,0.495
5.06,2.505,0.495
5.06,2.576,0.509
5.06,2.506,0.495
5.07,2.525,0.498
5.06,2.518,0.498
5.06,2.528,0.500
5.07,2.546,0.502
5.06,2.532,0.500
5.06,2.517,0.497
5.06,2.523,0.499
5.06,2.515,0.497
5.06,2.532,0.500
5.06,2.535,0.501
5.06,2.542,0.502
5.06,2.513,0.497
5.05,2.535,0.502
5.05,2.513,0.498
5.05,2.53,0.501
5.05,2.502,0.495
5.05,2.532,0.501
5.05,2.521,0.499
5.05,2.521,0.499
5.05,2.55,0.505
5.05,2.536,0.502
5.05,2.519,0.499
5.05,2.517,0.498
5.05,2.52,0.499
5.04,2.527,0.501
5.05,2.519,0.499
5.04,2.525,0.501
5.05,2.521,0.499
5.05,2.497,0.494
5.05,2.525,0.500
5.04,2.509,0.498
5.05,2.54,0.503
5.090,2.556,0.502
5.100,2.566,0.503
5.100,2.458,0.482
5.100,2.513,0.493
5.100,2.524,0.495
5.100,2.538,0.498
5.100,2.530,0.496
5.100,2.555,0.501
5.100,2.560,0.502
5.100,2.557,0.501
5.080,2.543,0.501
5.100,2.544,0.499
5.100,2.564,0.503
5.090,2.560,0.503
5.100,2.546,0.499
5.100,2.550,0.500
5.100,2.505,0.491
5.100,2.543,0.499
5.100,2.547,0.499
5.100,2.557,0.501
