Vin (V),Vout (mV),	Vout/Vin
5.05,	-4.9,	-0.000970297
5.04,	22,	0.004365079
4.76,	-2.6,	-0.000546218
5.05,	8.2	,0.001623762
5.05,	-31.7,	-0.006277228
5.03,	-15.6,	-0.003101392
5.06,	0.2	,3.95E-05
5.02,	4.1	,0.000816733
5.03,	31.7,	0.006302187
5.05,	-2,	-0.00039604
5.07,	14.4,	0.002840237
5.07,	36.6,	0.007218935
5.06,	-12.2,	-0.002411067
5.07,	4,	0.000788955
5.07,	26.7,	0.005266272
5.07,	12.1,	0.002386588
5.07,	-20.3,	-0.004003945
5.08,	-4.3,	-0.000846457
5.07,	-13.9,	-0.002741617
5.08,	-23.1,	-0.004547244
5.05,	12,	0.002376238
5.05,	-42.2,	-0.008356436
5.05,	-17.8,	-0.003524752
5.05,	-1.6,	-0.000316832
5.05,	0.6	,0.000118812
5.05,	8.8	,0.001742574
5.04,	-21.1,	-0.004186508
5.05,	13.1,	0.002594059
5.05,	-35.7,	-0.007069307
5.05,	4.6	,0.000910891
5.02,	-13.5,	-0.002689243
4.98,	-2.1,	-0.000421687
5.06,	-0.7,	-0.00013834
4.81,	-35.8,	-0.007442827
4.96,	-12.3,	-0.002479839
4.92,	-8.7,	-0.001768293
5.04,	-16.5,	-0.00327381
5.05,	-13.3,	-0.002633663
5.04,	-31.1,	-0.006170635
5.05,	-22.5,	-0.004455446
4.88,	25.3,	0.005184426
4.72,	-32.3,	-0.00684322
4.88,	34.5,	0.007069672
4.76,	13.7,	0.002878151
4.69,	-12.3,-0.002622601
4.94,	-16.9,	-0.003421053
4.93,	-4.1,	-0.000831643
4.91,	-0.5,	-0.000101833
4.89,	-18.8,	-0.003844581
4.93,	-9.9,	-0.002008114
5.07,	11.2,	0.002209073
5.06,	-12.4,	-0.002450593
5.06,	0.5	,9.88E-05
5.06,	-9.8,	-0.001936759
5.06,	-6.6,	-0.001304348
5.06,	15.6,	0.003083004
5.06,	-2.5,	-0.000494071
5.06,	15.3,	0.003023715
5.06,	-6.3,	-0.001245059
5.06,	0.5	,9.88E-05
5.04,	22.7,	0.004503968
5.04,	26.8,	0.00531746
5.04,	16.7,	0.003313492
5.05,	-27.7,	-0.005485149
5.05,	17.3,	0.003425743
5.05,	-4.1,	-0.000811881
5.05,	20.2,	0.004
5.05,	2.4	,0.000475248
5.05,	-26.8,	-0.005306931
5.05,	-29	,-0.005742574
5.09,	-9.8,	-0.001925344
5.1	,-35,	-0.006862745
5.1	,-4.1,	-0.000803922
5.1	,3.5,	0.000686275
5.1	,8.4,	0.001647059
5.1	,3.3,	0.000647059
5.08,	-18.1,	-0.003562992
5.1	,-21.4,	-0.004196078
5.1	,34.7,	0.006803922
5.1	,-5.6,	-0.001098039
