Task 1,Task 2 Vin,Task 2 Vout,Task 2 Out,Task 3 Vin,Task 3 Vout,Task 3 Out
0.47386,0.23517,12.43493,12.48489,0.30526,-0.09823,-0.09494
0.98789,-2.43341,0.0402,0.31754,0.19168,1.36772,1.36205
-0.68269,0.23517,-0.15433,-0.17783,-2.98873,0.02711,0.02087
2.14444,0.23517,-0.11785,-0.14687,0.30526,0.61567,0.61345
-2.09625,-0.29855,-0.05099,-0.02303,0.30526,-1.55873,-1.54415
-0.68269,-0.03169,0.0098,0.00793,0.07809,-0.68134,-0.67689
-1.0682,-1.09912,-0.21511,-0.08495,0.41885,0.1797,0.18082
0.47386,-0.29855,-0.06922,-0.02303,-0.0355,0.39224,0.39307
-0.04016,-0.03169,-0.26375,-0.27071,0.07809,1.89634,1.89103
0.47386,0.23517,-0.00843,-0.02303,0.30526,0.05981,0.06188
0.34536,-0.03169,-0.2759,-0.27071,0.53243,0.95355,0.94564
1.11639,-0.03169,-0.13001,-0.11591,0.53243,2.16337,2.14138
-0.16866,-0.29855,-0.31238,-0.27071,0.41885,-0.49605,-0.48838
-0.81119,-1.09912,-0.33061,-0.20879,0.53243,0.38679,0.38548
2.01593,0.23517,-0.05099,-0.08495,0.53243,1.62386,1.60814
-0.29717,-1.36598,-0.47043,-0.33263,0.53243,0.82821,0.82176
1.50191,-0.83226,-0.05099,0.03889,0.53243,-0.93747,-0.92336
0.47386,-0.03169,-0.09354,-0.08495,0.64602,-0.06553,-0.06112
-0.16866,-0.03169,0.08883,0.10081,0.53243,-0.5887,-0.57865
0.73088,0.23517,-0.05099,-0.08495,0.64602,-1.09006,-1.07173
0.98789,0.50203,-0.02059,-0.08495,0.30526,0.82276,0.81893
-0.9397,0.76888,0.13138,0.03889,0.30526,-2.13094,-2.11194
-0.04016,0.50203,-0.06314,-0.11591,0.30526,-0.80123,-0.7925
-1.58223,0.50203,0.0098,-0.05399,0.30526,0.08161,0.08351
0.85938,0.50203,-0.08746,-0.14687,0.30526,0.2015,0.20248
0.98789,0.50203,-0.04491,-0.11591,0.30526,0.64837,0.64589
0.60237,0.50203,0.02196,-0.02303,0.19168,-0.98107,-0.97322
-1.45372,0.50203,0.13746,0.06985,0.30526,0.88271,0.87842
0.08835,0.50203,-0.03275,-0.08495,0.30526,-1.77672,-1.76045
1.2449,0.50203,-0.12393,-0.17783,0.30526,0.41949,0.41878
-1.0682,0.50203,0.16785,0.10081,-0.0355,-0.5669,-0.56434
0.21685,0.50203,0.00372,-0.05399,-0.48984,0.05436,0.05488
1.11639,-0.03169,-0.05706,-0.05399,0.41885,0.13066,0.13225
0.98789,0.23517,-0.09962,-0.11591,-2.4208,-1.78217,-1.86245
1.75892,0.50203,-0.03275,-0.08495,-0.71701,-0.5015,-0.50716
0.08835,0.50203,0.05235,0.00793,-1.17136,-0.30532,-0.31285
-0.42567,0.23517,0.08275,0.06985,0.19168,-0.73039,-0.72398
0.34536,0.50203,-0.11785,-0.17783,0.30526,-0.556,-0.54917
-0.55418,0.50203,0.0402,-0.02303,0.19168,-1.52603,-1.51504
0.21685,0.50203,-0.03883,-0.08495,0.30526,-1.05737,-1.04666
-0.42567,-0.03169,-0.08746,-0.08495,-1.6257,1.54756,1.58579
0.08835,-0.03169,-0.3914,-0.39455,-3.44308,-1.59143,-1.69871
-0.04016,-0.5654,-0.03883,0.03889,-1.6257,2.04893,2.10062
-0.55418,-0.03169,-0.13001,-0.11591,-2.98873,0.9154,0.956
1.63041,-0.03169,-0.13001,-0.11591,-3.78383,-0.5015,-0.54615
0.73088,-0.03169,-0.00843,0.00793,-0.94418,-0.75219,-0.76419
1.88743,-0.03169,0.04628,0.03889,-1.05777,-0.05463,-0.05707
-0.04016,-0.03169,0.02196,0.03889,-1.28494,0.14155,0.14222
0.60237,-0.03169,-0.01451,-0.02303,-1.51211,-0.85573,-0.87984
1.3734,-0.03169,-0.02667,-0.02303,-1.05777,-0.37071,-0.37834
0.34536,-0.03169,0.02804,0.03889,0.53243,0.77916,0.77329
0.47386,-0.03169,0.0098,0.00793,0.41885,-0.50695,-0.49917
0.21685,-0.03169,-0.08138,-0.08495,0.41885,0.19605,0.19701
0.47386,-0.03169,0.06451,0.06985,0.41885,-0.36526,-0.35886
0.73088,-0.29855,0.0402,0.06985,0.41885,-0.19087,-0.18616
-0.04016,-0.03169,-0.04491,-0.05399,0.41885,1.01895,1.01194
-0.42567,-0.29855,-0.15433,-0.11591,0.41885,0.03256,0.03511
-1.96774,-0.29855,-0.13001,-0.08495,0.41885,1.0026,0.99575
-0.16866,-0.29855,-0.1908,-0.14687,0.41885,-0.17452,-0.16997
-0.68269,-0.29855,0.02196,0.06985,0.41885,0.19605,0.19701
0.98789,0.76888,-0.17864,-0.27071,0.19168,1.40587,1.39997
-0.16866,0.76888,-0.00843,-0.08495,0.19168,1.62931,1.62212
0.73088,0.76888,0.0098,-0.08495,0.19168,1.07889,1.07488
-0.55418,0.76888,-0.13001,-0.20879,0.30526,-1.34075,-1.32785
