Frequency,Actual Frequency,Vin,Vout,Phi,Time Constant,Magnitude,Corner Frequency
100.0,100.0,0.464,0.48,-185.0,0.00369530125893,-15.7924625451,270.613931025
178.0,178.49,0.472,0.48,-187.0,0.0743247494782,-33.7454460443,13.4544684916
316.0,316.6,0.472,0.496,-181.0,0.00843175616091,-29.2745341549,118.599255116
562.0,562.4,0.472,0.536,-180.0,0.00238031687474,-28.7730186143,420.112133226
1000.0,1000.87,0.047,0.74,-191.02,0.000709001162223,-28.5201334056,1410.4349235
1780.0,1780.5,0.472,1.1,-302.14,0.000342111420991,-30.3565178006,2923.02430917
3160.0,3608.7,0.48,0.168,-346.33,0.000260652828724,-35.3089192693,3836.52080393
5620.0,5620.77,0.48,0.062,-360.0,0.000601366078662,-42.7875341431,1662.88062377
10000.0,10014.7,0.464,0.036,-360.0,0.000337517890098,-45.295855151,2962.80591145
17800.0,17793.4,0.448,0.0064,-360.0,0.000189965965693,-47.7920090436,5264.10084223
100000.0,100003.0,0.448,0.0032,-360.0,3.38003901279e-05,-55.2894905506,29585.4573339
