Frequency,Actual Frequency,Vin,Vout,Phi,Time Constant,Magnitude,Corner Frequency
100.0,100.275,0.496,0.496,0.0,0.0,-0.0,inf
178.0,178.721,0.496,0.496,-6.43,0.000827427718431,-14.3821046214,1208.56478182
316.0,316.265,0.496,0.488,-9.11,0.0010295285494,-20.1693770284,971.318377315
562.0,562.296,0.496,0.464,-17.0,0.00621365907898,-32.9349841167,160.935768649
1000.0,1000.008,0.488,0.408,-28.8,0.000580105382392,-27.6426183476,1723.82472281
1780.0,1780.066,0.48,0.32,-46.1,0.000922674734232,-34.6606936,1083.80555238
3160.0,3160.96,0.48,0.22,-59.2405,0.000152725631918,-31.8383443749,6547.68939202
5620.0,5621.1,0.48,0.14,-70.6,0.00206750876556,-48.1509663051,483.673886495
10000.0,10000.1,0.047,0.088,-79.2,7.76391476845e-05,-38.9014537779,12880.1001791
17800.0,17809.3,0.48,0.062,-90.0,0.00011203137755,-45.5064559765,8926.07073005
100000.0,100027.0,0.48,0.032,-91.7647,7.73516203842e-06,-48.8870951471,129279.773977
