TemC,time sec,time(offset)
3.258224,13.603,0
3.508224,13.826,0.223
4.008224,14.049,0.446
4.258224,14.272,0.669
5.008224,14.495,0.892
6.258224,14.718,1.115
6.258224,14.941,1.338
7.258224,15.164,1.561
8.258224,15.387,1.784
9.008224,15.61,2.007
9.758224,15.833,2.23
10.508224,16.056,2.453
12.758224,16.279,2.676
15.008224,16.502,2.899
16.508224,16.725,3.122
18.008224,16.948,3.345
19.008224,17.171,3.568
19.758224,17.394,3.791
21.758224,17.617,4.014
24.258224,17.84,4.237
25.258224,18.063,4.46
26.758224,18.286,4.683
28.758224,18.509,4.906
30.258224,18.732,5.129
31.258224,18.955,5.352
32.258224,19.178,5.575
34.008224,19.401,5.798
35.508224,19.624,6.021
36.508224,19.847,6.244
37.508224,20.07,6.467
39.258224,20.293,6.69
40.758224,20.516,6.913
41.758224,20.739,7.136
42.508224,20.962,7.359
43.508224,21.185,7.582
44.758224,21.408,7.805
45.258224,21.631,8.028
46.008224,21.854,8.251
47.008224,22.077,8.474
47.508224,22.3,8.697
48.258224,22.523,8.92
48.758224,22.746,9.143
50.258224,22.969,9.366
50.508224,23.192,9.589
51.508224,23.415,9.812
52.258224,23.638,10.035
52.758224,23.861,10.258
53.758224,24.084,10.481
54.258224,24.307,10.704
52.508224,24.53,10.927
54.758224,24.753,11.15
55.508224,24.976,11.373
56.258224,25.199,11.596
56.008224,25.422,11.819
57.258224,25.645,12.042
57.758224,25.868,12.265
58.258224,26.091,12.488
59.258224,26.314,12.711
59.758224,26.537,12.934
60.508224,26.76,13.157
61.258224,26.983,13.38
61.508224,27.206,13.603
62.758224,27.429,13.826
62.758224,27.652,14.049
63.758224,27.875,14.272
64.508224,28.098,14.495
66.758224,28.321,14.718
70.258224,28.544,14.941
72.508224,28.767,15.164
72.758224,28.99,15.387
74.008224,29.213,15.61
74.758224,29.436,15.833
75.008224,29.659,16.056
75.008224,29.882,16.279
75.258224,30.105,16.502
75.258224,30.328,16.725
75.508224,30.551,16.948
75.258224,30.774,17.171
75.258224,30.997,17.394
75.508224,31.22,17.617
77.258224,31.443,17.84
77.758224,31.666,18.063
77.508224,31.889,18.286
78.008224,32.112,18.509
78.258224,32.335,18.732
78.258224,32.558,18.955
78.508224,32.781,19.178
79.508224,33.004,19.401
80.258224,33.227,19.624
80.258224,33.45,19.847
80.508224,33.673,20.07
80.258224,33.896,20.293
80.758224,34.119,20.516
81.758224,34.342,20.739
82.008224,34.565,20.962
81.758224,34.788,21.185
82.508224,35.011,21.408
82.258224,35.234,21.631
82.758224,35.457,21.854
82.758224,35.68,22.077
83.008224,35.903,22.3
83.508224,36.126,22.523
83.258224,36.349,22.746
83.758224,36.572,22.969
84.008224,36.795,23.192
84.008224,37.018,23.415
84.008224,37.241,23.638
84.008224,37.464,23.861
