Time (sec),Temp C
0,26.75
0.5,26.25
1,26.75
1.5,26.5
2,27.25
2.5,27
3,27.25
3.5,26.75
4,26.75
4.5,27.25
5,26.5
5.5,27.25
6,27.25
6.5,26.5
7,26.75
7.5,26.5
8,26.75
8.5,27.25
9,27
9.5,27
10,26.75
10.5,27
11,27
11.5,27.25
12,27.25
12.5,26.75
13,26.75
13.5,26.75
14,27.5
14.5,27.75
15,28
15.5,28
16,28.5
16.5,28.25
17,29.25
17.5,28.75
18,29.5
18.5,29.75
19,29.75
19.5,28.75
20,29.25
20.5,29.75
21,29.75
21.5,29.25
22,30.25
22.5,30
23,30
23.5,30
24,30.5
24.5,30.5
25,31
25.5,30.5
26,31
26.5,32
27,32
27.5,32.25
28,32.25
28.5,32.75
29,32.25
29.5,32.25
30,32.75
30.5,32.5
31,32.25
31.5,32.75
32,33.5
32.5,34
33,33.5
33.5,34
34,34
34.5,34.75
35,34.75
35.5,35.25
36,35
36.5,36
37,36
37.5,36.5
38,36.5
38.5,36
39,37
39.5,36.75
40,36.75
40.5,37
41,37.5
41.5,37.5
42,37.5
42.5,38
43,38
43.5,38.25
44,38.75
44.5,38.75
45,38.5
45.5,38.75
46,38.75
46.5,39
47,39
47.5,39
48,39.25
48.5,39.25
49,39.5
49.5,39.5
50,39.75
50.5,39.5
51,39.75
51.5,39.5
52,39.75
52.5,40.25
53,39.75
53.5,40.75
54,40.75
54.5,41
55,41
55.5,41.75
56,41.5
56.5,41.5
57,41.5
57.5,42
58,42
58.5,42.5
59,42.75
59.5,42.75
60,42.75
60.5,43.25
61,43.5
61.5,43
62,43.5
62.5,43.75
63,43.75
63.5,44
64,43.75
64.5,44.5
65,44.25
65.5,45
66,44.75
66.5,45.25
67,44.75
67.5,45.5
68,45.5
68.5,45.5
69,46
69.5,45.75
70,45.5
70.5,46.5
71,46.5
71.5,47
72,47
72.5,46.75
73,47
73.5,47.25
74,47.75
74.5,47.75
75,48
75.5,48.5
76,48.25
76.5,48.75
77,49
77.5,49.25
78,48.75
78.5,48.5
79,49
79.5,49.25
80,49.25
80.5,49.75
81,49.25
81.5,49.75
82,50
82.5,50
83,49.5
83.5,50.25
84,50.25
84.5,50.5
85,50.75
85.5,51
86,51.25
86.5,51.5
87,51.25
87.5,51.75
88,52
88.5,52.5
89,52.75
89.5,52.75
90,52.25
90.5,53
91,53
91.5,53.5
92,53
92.5,53.5
93,54
93.5,54
94,54
94.5,54
95,54.75
95.5,55.25
96,55.5
96.5,55.5
97,55.75
97.5,56
98,56.5
98.5,56
99,56.25
99.5,56.75
100,57
100.5,57
101,56.75
101.5,57.25
102,57.25
102.5,57.5
103,57.25
103.5,57.5
104,58.25
104.5,58.5
105,58.5
105.5,58.75
106,58.75
106.5,59.25
107,59.5
107.5,59.25
108,59.75
108.5,59.5
109,60
109.5,60
110,60.5
110.5,59.75
111,60.5
111.5,60.5
112,60.75
112.5,61
113,60.75
113.5,61.25
114,61.75
114.5,61.25
115,61.75
115.5,62
116,62
116.5,62.25
117,63
117.5,63.5
118,63.5
118.5,63.25
119,64
119.5,63.5
120,64.25
120.5,64
121,64.75
121.5,65
122,65
122.5,65
123,65.25
123.5,65.25
124,65.5
124.5,65.75
125,66
125.5,66
126,65.5
126.5,66.75
127,66.75
127.5,67
128,66.5
128.5,67.25
129,67.25
129.5,67.75
130,67.5
130.5,68
131,67.25
131.5,68.25
132,68.25
132.5,67.75
133,67.5
133.5,68.5
134,68.5
134.5,68.75
135,68.25
135.5,69.5
136,69.25
136.5,70
137,69.5
137.5,69.5
138,70.5
138.5,70.5
139,70.5
139.5,70.75
140,71
140.5,71.25
141,71
141.5,71.25
142,71.75
142.5,71.75
143,71.75
143.5,71.75
144,72
144.5,72.25
145,72.5
145.5,72.75
146,73.25
146.5,73
147,73.25
147.5,73.5
148,73.25
148.5,73.75
149,73.75
149.5,74
150,74.25
150.5,74.5
151,74.25
151.5,74.5
152,73.75
152.5,75
153,74.75
153.5,75.25
154,75.75
154.5,76
155,76.25
155.5,76.25
156,76.5
156.5,76.25
157,76.75
157.5,77.25
158,77.25
158.5,77.5
159,77.75
159.5,77.75
160,77.75
160.5,77
161,77.5
161.5,77.75
162,78.25
162.5,78.5
163,78.75
163.5,78.75
164,78.75
164.5,78.25
165,78.75
165.5,79.5
166,79.5
166.5,79.5
167,80.25
167.5,79.75
168,80
168.5,80.25
169,80.25
169.5,80.5
170,80.25
170.5,80.5
171,81.25
171.5,81.5
172,81.75
172.5,81.75
173,81.75
173.5,82
174,82.5
174.5,83
175,82.75
175.5,82.25
176,83.25
176.5,83.5
177,83.25
177.5,83.25
178,84
178.5,83.75
179,83.5
179.5,84.25
180,83.25
180.5,84.75
181,84.5
181.5,85
182,85
182.5,85
183,85.25
183.5,85.25
184,85.75
184.5,85.75
185,86.25
185.5,85.75
186,87
186.5,86.75
187,86.75
187.5,87.5
188,87.5
188.5,87.75
189,87.75
189.5,88.25
190,88.5
190.5,88.25
191,88.5
191.5,88.75
192,89
192.5,88.5
193,89
193.5,88.5
194,89
194.5,89.5
195,89.75
195.5,90
196,90.25
196.5,90.25
197,90.5
197.5,90.5
198,91.25
198.5,91
199,91.5
199.5,91.25
200,91.5
200.5,91.25
201,92.25
201.5,92
202,92.5
202.5,92.75
203,92.5
203.5,93.5
204,93.25
204.5,93.5
205,93.5
205.5,93.5
206,94.25
206.5,94
207,94.75
207.5,94.5
208,94.5
208.5,94.75
209,95
209.5,95.25
210,95.5
210.5,95.5
211,95.75
211.5,95.5
212,95.75
212.5,96.5
213,96.25
213.5,96.5
214,96.5
214.5,96.5
215,97
215.5,96.5
216,97
216.5,97
217,96.75
217.5,97
218,97.5
218.5,97.5
219,97.75
219.5,98.25
220,98.25
220.5,98.5
221,98.25
221.5,98.25
222,98.5
222.5,99
223,98.5
223.5,99.25
224,99.25
