time (sec),t (min),Temp C
0,0,25.25
1,0.02,25.25
2,0.03,25.25
3,0.05,25.25
4,0.07,25
5,0.08,25.25
6,0.1,25.25
7,0.12,25
8,0.13,25
9,0.15,25
10,0.17,24.75
11,0.18,24.75
12,0.2,25
13,0.22,25
14,0.23,25.25
15,0.25,24.75
16,0.27,25
17,0.28,24.75
18,0.3,24.75
19,0.32,25.25
20,0.33,24.75
21,0.35,24.5
22,0.37,25.25
23,0.38,25
24,0.4,25
25,0.42,25
26,0.43,25
27,0.45,25
28,0.47,24.75
29,0.48,24.75
30,0.5,25.25
31,0.52,25.25
32,0.53,25
33,0.55,24.75
34,0.57,25
35,0.58,25
36,0.6,24.75
37,0.62,24.75
38,0.63,25
39,0.65,25
40,0.67,24.75
41,0.68,25
42,0.7,24.75
43,0.72,25
44,0.73,25.25
45,0.75,25
46,0.77,25.25
47,0.78,25
48,0.8,25
49,0.82,25
50,0.83,24.5
51,0.85,25
52,0.87,24.5
53,0.88,25
54,0.9,25
55,0.92,24.75
56,0.93,25.25
57,0.95,25
58,0.97,25
59,0.98,25
60,1,24.75
61,1.02,25.25
62,1.03,25.25
63,1.05,25.25
64,1.07,25.25
65,1.08,25
66,1.1,25
67,1.12,24.5
68,1.13,25
69,1.15,25.75
70,1.17,27
71,1.18,27.5
72,1.2,27.5
73,1.22,28.25
74,1.23,29
75,1.25,29.25
76,1.27,30.75
77,1.28,31.5
78,1.3,32
79,1.32,32.5
80,1.33,33
81,1.35,32.25
82,1.37,32.5
83,1.38,32.25
84,1.4,32.25
85,1.42,33.25
86,1.43,33.75
87,1.45,34
88,1.47,35
89,1.48,35.75
90,1.5,36
91,1.52,36.5
92,1.53,37
93,1.55,37.5
94,1.57,37.25
95,1.58,37.75
96,1.6,38.5
97,1.62,39.25
98,1.63,39.75
99,1.65,40.25
100,1.67,40.5
101,1.68,40.75
102,1.7,41.75
103,1.72,42.5
104,1.73,43
105,1.75,43.5
106,1.77,44.5
107,1.78,44.75
108,1.8,46
109,1.82,46.75
110,1.83,47.5
111,1.85,48.25
112,1.87,48.25
113,1.88,49.75
114,1.9,50.5
115,1.92,50.75
116,1.93,51.5
117,1.95,51.5
118,1.97,52
119,1.98,52.5
120,2,52.5
121,2.02,53
122,2.03,53.75
123,2.05,54
124,2.07,55.25
125,2.08,56
126,2.1,56.75
127,2.12,57.5
128,2.13,58
129,2.15,58.75
130,2.17,59
131,2.18,59.75
132,2.2,60.5
133,2.22,60.75
134,2.23,61.25
135,2.25,62.25
136,2.27,63
137,2.28,63.5
138,2.3,64.5
139,2.32,64.5
140,2.33,65.25
141,2.35,65.75
142,2.37,66.5
143,2.38,67.25
144,2.4,67.75
145,2.42,68.25
146,2.43,68.75
147,2.45,69.5
148,2.47,70
149,2.48,70.5
150,2.5,70.75
151,2.52,71
152,2.53,71.5
153,2.55,72.25
154,2.57,72.75
155,2.58,73
156,2.6,73.75
157,2.62,74.25
