Data,Time
354,0
355,0.01
356,0.02
356,0.03
357,0.04
358,0.05
360,0.06
362,0.07
363,0.08
364,0.09
367,0.1
369,0.11
371,0.12
373,0.13
375,0.14
377,0.15
379,0.16
381,0.17
382,0.18
384,0.19
385,0.2
387,0.21
388,0.22
389,0.23
390,0.24
391,0.25
394,0.26
396,0.27
398,0.28
400,0.29
403,0.3
405,0.31
409,0.32
411,0.33
415,0.34
417,0.35
421,0.36
423,0.37
426,0.38
429,0.39
431,0.4
433,0.41
436,0.42
439,0.43
441,0.44
444,0.45
447,0.46
450,0.47
451,0.48
454,0.49
457,0.5
459,0.51
462,0.52
465,0.53
468,0.54
471,0.55
472,0.56
475,0.57
478,0.58
480,0.59
482,0.6
484,0.61
485,0.62
488,0.63
490,0.64
492,0.65
494,0.66
496,0.67
498,0.68
499,0.69
500,0.7
503,0.71
504,0.72
506,0.73
508,0.74
509,0.75
511,0.76
512,0.77
513,0.78
515,0.79
515,0.8
516,0.81
517,0.82
518,0.83
518,0.84
519,0.85
519,0.86
520,0.87
520,0.88
521,0.89
521,0.9
521,0.91
521,0.92
521,0.93
521,0.94
521,0.95
521,0.96
521,0.97
520,0.98
520,0.99
519,1
519,1.01
518,1.02
518,1.03
517,1.04
516,1.05
515,1.06
514,1.07
513,1.08
512,1.09
511,1.1
509,1.11
508,1.12
506,1.13
505,1.14
504,1.15
502,1.16
501,1.17
500,1.18
498,1.19
497,1.2
495,1.21
493,1.22
492,1.23
490,1.24
488,1.25
486,1.26
484,1.27
483,1.28
480,1.29
479,1.3
477,1.31
475,1.32
473,1.33
471,1.34
469,1.35
468,1.36
466,1.37
463,1.38
462,1.39
461,1.4
458,1.41
457,1.42
455,1.43
453,1.44
452,1.45
450,1.46
449,1.47
447,1.48
445,1.49
443,1.5
442,1.51
441,1.52
439,1.53
437,1.54
436,1.55
435,1.56
433,1.57
432,1.58
431,1.59
430,1.6
428,1.61
427,1.62
426,1.63
425,1.64
424,1.65
423,1.66
422,1.67
422,1.68
420,1.69
419,1.7
419,1.71
418,1.72
418,1.73
417,1.74
416,1.75
416,1.76
416,1.77
415,1.78
415,1.79
415,1.8
415,1.81
415,1.82
414,1.83
415,1.84
415,1.85
415,1.86
414,1.87
414,1.88
415,1.89
415,1.9
415,1.91
416,1.92
416,1.93
416,1.94
416,1.95
417,1.96
418,1.97
418,1.98
419,1.99
420,2
422,2.01
421,2.02
422,2.03
423,2.04
424,2.05
425,2.06
426,2.07
427,2.08
429,2.09
429,2.1
430,2.11
431,2.12
432,2.13
433,2.14
434,2.15
435,2.16
436,2.17
437,2.18
439,2.19
440,2.2
442,2.21
443,2.22
444,2.23
446,2.24
447,2.25
448,2.26
450,2.27
451,2.28
452,2.29
453,2.3
455,2.31
456,2.32
457,2.33
458,2.34
459,2.35
460,2.36
462,2.37
463,2.38
464,2.39
465,2.4
467,2.41
468,2.42
469,2.43
470,2.44
471,2.45
472,2.46
473,2.47
474,2.48
475,2.49
476,2.5
477,2.51
478,2.52
479,2.53
480,2.54
480,2.55
481,2.56
481,2.57
483,2.58
483,2.59
484,2.6
484,2.61
485,2.62
485,2.63
485,2.64
485,2.65
486,2.66
486,2.67
486,2.68
487,2.69
487,2.7
487,2.71
488,2.72
488,2.73
488,2.74
488,2.75
488,2.76
488,2.77
488,2.78
488,2.79
488,2.8
487,2.81
488,2.82
487,2.83
486,2.84
486,2.85
486,2.86
486,2.87
485,2.88
485,2.89
485,2.9
484,2.91
484,2.92
483,2.93
483,2.94
482,2.95
481,2.96
480,2.97
480,2.98
479,2.99
478,3
477,3.01
477,3.02
476,3.03
475,3.04
474,3.05
473,3.06
473,3.07
472,3.08
471,3.09
470,3.1
469,3.11
468,3.12
467,3.13
466,3.14
465,3.15
464,3.16
463,3.17
462,3.18
461,3.19
460,3.2
459,3.21
459,3.22
458,3.23
457,3.24
456,3.25
455,3.26
455,3.27
453,3.28
452,3.29
452,3.3
451,3.31
450,3.32
449,3.33
449,3.34
448,3.35
447,3.36
447,3.37
446,3.38
445,3.39
444,3.4
443,3.41
443,3.42
443,3.43
442,3.44
441,3.45
441,3.46
441,3.47
440,3.48
439,3.49
439,3.5
438,3.51
438,3.52
437,3.53
436,3.54
436,3.55
436,3.56
436,3.57
435,3.58
435,3.59
435,3.6
435,3.61
435,3.62
435,3.63
435,3.64
435,3.65
435,3.66
435,3.67
435,3.68
435,3.69
435,3.7
435,3.71
435,3.72
435,3.73
435,3.74
435,3.75
436,3.76
436,3.77
436,3.78
436,3.79
437,3.8
437,3.81
437,3.82
438,3.83
439,3.84
439,3.85
439,3.86
440,3.87
441,3.88
441,3.89
441,3.9
442,3.91
443,3.92
443,3.93
444,3.94
444,3.95
445,3.96
445,3.97
446,3.98
447,3.99
448,4
448,4.01
449,4.02
450,4.03
451,4.04
451,4.05
452,4.06
452,4.07
453,4.08
454,4.09
454,4.1
455,4.11
456,4.12
456,4.13
457,4.14
458,4.15
459,4.16
459,4.17
459,4.18
460,4.19
461,4.2
462,4.21
462,4.22
463,4.23
463,4.24
464,4.25
464,4.26
465,4.27
466,4.28
467,4.29
467,4.3
468,4.31
468,4.32
469,4.33
469,4.34
469,4.35
470,4.36
471,4.37
471,4.38
471,4.39
472,4.4
472,4.41
472,4.42
473,4.43
473,4.44
473,4.45
473,4.46
474,4.47
474,4.48
474,4.49
474,4.5
474,4.51
475,4.52
475,4.53
475,4.54
475,4.55
475,4.56
475,4.57
475,4.58
475,4.59
475,4.6
475,4.61
475,4.62
474,4.63
474,4.64
474,4.65
474,4.66
474,4.67
474,4.68
474,4.69
473,4.7
473,4.71
473,4.72
473,4.73
473,4.74
472,4.75
472,4.76
471,4.77
471,4.78
470,4.79
470,4.8
469,4.81
469,4.82
469,4.83
468,4.84
468,4.85
468,4.86
467,4.87
466,4.88
466,4.89
465,4.9
464,4.91
464,4.92
463,4.93
463,4.94
462,4.95
462,4.96
461,4.97
461,4.98
460,4.99
459,5
459,5.01
459,5.02
458,5.03
458,5.04
457,5.05
457,5.06
456,5.07
456,5.08
455,5.09
455,5.1
454,5.11
454,5.12
453,5.13
453,5.14
452,5.15
452,5.16
451,5.17
451,5.18
450,5.19
450,5.2
450,5.21
449,5.22
449,5.23
448,5.24
448,5.25
448,5.26
447,5.27
447,5.28
446,5.29
446,5.3
446,5.31
446,5.32
445,5.33
445,5.34
445,5.35
445,5.36
444,5.37
444,5.38
444,5.39
444,5.4
443,5.41
443,5.42
444,5.43
443,5.44
443,5.45
443,5.46
443,5.47
443,5.48
443,5.49
443,5.5
444,5.51
443,5.52
444,5.53
444,5.54
444,5.55
444,5.56
444,5.57
444,5.58
445,5.59
445,5.6
445,5.61
445,5.62
446,5.63
446,5.64
446,5.65
446,5.66
447,5.67
447,5.68
447,5.69
448,5.7
448,5.71
